time.NO.0	days	NO.0	NO.50	NO.200	NO.500	NOslopeRTO.50	NOslopeRTO.200	NOslopeRTO.500	NOslope.lm	NOintercept.lm	R2.lm
2015-08-06 20:00:00	-4.835417	0.0241	51.8920	225.3100	558.7100	0.9635	0.8877	0.8949	0.8919	1.1129	0.9999
2015-08-07 17:48:00	-3.927083	0.0332	52.6610	   NA	554.5100	0.9495	   NA	0.9017	0.8997	1.2290	1.0000
2015-08-08 17:48:00	-2.927083	-0.1420	54.2320	224.3100	552.8100	0.9220	0.8916	0.9045	0.9033	-0.2055	0.9999
2015-08-09 17:48:00	-1.927083	0.0351	54.7530	221.9100	549.5100	0.9132	0.9013	0.9099	0.9096	-0.3855	1.0000
2015-08-10 17:48:00	-0.927083	-0.0420	56.4410	222.9100	545.1200	0.8859	0.8972	0.9172	0.9182	-1.7558	0.9999
2015-08-12 00:54:00	0.368750	0.2802	56.1910	222.4100	533.2100	0.8898	0.8992	0.9377	0.9394	-3.2113	0.9997
2015-08-13 00:54:00	1.368750	-0.1820	56.0880	220.4200	530.9100	0.8915	0.9074	0.9418	0.9432	-2.8379	0.9997
2015-08-14 00:54:00	2.368750	-0.2520	56.7820	220.6000	532.7100	0.8806	0.9066	0.9386	0.9404	-2.8870	0.9998
2015-08-14 18:18:00	3.093750	-0.2020	55.3900	219.9100	541.0200	0.9027	0.9095	0.9242	0.9247	-1.1604	1.0000
2015-08-15 18:18:00	4.093750	-0.0320	54.7120	215.0200	530.2200	0.9139	0.9301	0.9430	0.9441	-1.2979	1.0000
2015-08-16 18:18:00	5.093750	-0.0310	55.0120	219.2100	538.9200	0.9089	0.9124	0.9278	0.9283	-1.2062	0.9999
2015-08-18 00:00:00	6.331250	0.1221	57.1820	222.6700	545.3300	0.8744	0.8982	0.9169	0.9186	-2.0392	0.9999
2015-08-19 00:00:00	7.331250	-0.0310	56.3300	221.9100	544.8200	0.8876	0.9013	0.9177	0.9188	-1.5461	0.9999
2015-08-19 20:54:00	8.202083	0.1242	57.3410	224.8200	548.6100	0.8720	0.8896	0.9114	0.9129	-2.1371	0.9999
2015-08-20 20:54:00	9.202083	1.0230	58.5910	224.1100	556.5100	0.8534	0.8924	0.8985	0.9015	-1.8728	1.0000
2015-08-21 16:00:00	9.997917	-0.0420	56.8400	223.4200	553.6200	0.8797	0.8952	0.9031	0.9040	-0.9578	1.0000
2015-08-22 16:00:00	10.997917	-0.1410	56.6920	221.6100	548.9100	0.8820	0.9025	0.9109	0.9119	-1.0613	1.0000
2015-08-23 16:00:00	11.997917	-0.1720	55.9900	220.1100	545.9200	0.8930	0.9086	0.9159	0.9166	-0.8337	1.0000
2015-08-26 18:48:00	15.114583	-0.1120	56.1420	218.3100	544.4200	0.8906	0.9161	0.9184	0.9195	-0.7216	1.0000
2015-08-27 21:36:00	16.231250	-0.0810	57.4220	221.0200	544.1200	0.8707	0.9049	0.9189	0.9209	-1.8458	0.9999
2015-08-28 21:36:00	17.231250	0.0911	55.9910	220.2000	543.6100	0.8930	0.9083	0.9198	0.9209	-1.2606	1.0000
2015-08-29 21:36:00	18.231250	-0.0020	56.3920	220.3700	541.1200	0.8867	0.9076	0.9240	0.9254	-1.7251	0.9999
2015-08-30 21:36:00	19.231250	-0.1110	55.8610	218.4200	536.7200	0.8951	0.9157	0.9316	0.9329	-1.6133	0.9999
2015-09-01 00:54:00	20.368750	-0.3220	55.9010	219.5100	   NA	0.8944	0.9111	   NA	0.9114	-0.2355	1.0000
2015-09-01 18:18:00	21.093750	-0.2820	55.5420	215.9100	532.8200	0.9002	0.9263	0.9384	0.9397	-1.3694	1.0000
2015-09-02 17:00:00	22.039583	-0.1820	56.0620	219.6100	540.6200	0.8919	0.9107	0.9249	0.9259	-1.4175	1.0000
