time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-06 16:54:00	1438880040	374.9312	62.7915	49.1491	421.0810	400.6250	3985.3650	 438.8530	   4.2830	1-0-00-0000-0000	0001
2015-08-06 19:54:00	1438890840	374.8884	62.2549	49.1227	424.8100	401.0060	3984.0000	 349.8300	   3.7030	1-0-00-0000-0000	0001
2015-08-06 22:54:00	1438901640	374.8691	61.3829	49.1241	419.1230	400.5500	3984.4620	 844.9600	   5.6390	1-0-00-0000-0000	0001
2015-08-07 01:54:00	1438912440	374.8546	61.8387	49.1359	415.2730	400.9240	3985.4380	 811.1500	   4.9110	1-0-00-0000-0000	0001
2015-08-07 04:54:00	1438923240	374.8919	61.7880	49.1456	419.9280	400.2270	3985.7180	 930.6610	   5.3870	1-0-00-0000-0000	0001
2015-08-07 07:54:00	1438934040	374.8000	62.5386	49.1276	411.2510	400.9410	3986.6670	 951.0360	   6.1270	1-0-00-0000-0000	0001
2015-08-07 14:42:00	1438958520	374.8912	64.8780	49.1428	418.7570	400.7800	3985.3090	 632.9060	   4.8230	1-0-00-0000-0000	0001
2015-08-07 17:42:00	1438969320	374.9057	64.7353	49.1442	413.1690	400.1900	3984.5890	 876.9840	   5.4350	1-0-00-0000-0000	0001
2015-08-07 20:42:00	1438980120	374.8933	64.2002	49.1498	416.9500	400.7980	3984.9200	 797.3040	   5.0990	1-0-00-0000-0000	0001
2015-08-07 23:42:00	1438990920	374.8567	64.4138	49.1560	409.7890	400.4770	3986.5540	 414.6610	   4.8130	1-0-00-0000-0000	0001
2015-08-08 02:42:00	1439001720	374.8228	64.5089	49.2185	409.5490	400.8180	3985.8560	 825.5730	   5.7270	1-0-00-0000-0000	0001
2015-08-08 05:42:00	1439012520	374.8194	64.1746	49.1588	426.8210	401.1660	3985.0270	 684.6410	   4.8350	1-0-00-0000-0000	0001
2015-08-08 08:42:00	1439023320	374.8511	63.8611	49.1442	415.8540	400.9790	3986.0050	 738.8390	   5.0710	1-0-00-0000-0000	0001
2015-08-08 11:42:00	1439034120	374.8732	64.8749	49.1512	409.6170	400.7540	3986.5380	 537.5340	   5.2460	1-0-00-0000-0000	0001
2015-08-08 14:42:00	1439044920	374.9216	65.8726	49.1491	407.4400	400.7410	3985.2890	 540.6530	   5.1740	1-0-00-0000-0000	0001
2015-08-08 17:42:00	1439055720	374.9112	65.2339	49.1456	416.8430	400.4600	3985.9770	 516.1080	   4.7280	1-0-00-0000-0000	0001
2015-08-08 20:42:00	1439066520	374.8594	64.4124	49.1352	408.4770	400.2750	3985.5340	 723.7280	   5.8400	1-0-00-0000-0000	0001
2015-08-08 23:42:00	1439077320	374.8815	66.2638	49.1477	420.1820	400.5140	3985.5700	 653.5750	   5.8040	1-0-00-0000-0000	0001
2015-08-09 02:42:00	1439088120	374.8401	67.9709	49.1477	437.7640	400.6670	3985.9700	 302.0890	   3.7890	1-0-00-0000-0000	0001
2015-08-09 05:42:00	1439098920	374.8498	67.7283	49.1428	408.6320	400.8370	3984.8660	 426.4610	   5.6880	1-0-00-0000-0000	0001
2015-08-09 08:42:00	1439109720	374.8284	67.8562	49.1414	424.7050	400.6890	3984.5690	 740.5440	   6.1790	1-0-00-0000-0000	0001
2015-08-09 11:42:00	1439120520	374.9057	69.0907	49.2011	415.9050	400.7250	3984.5380	1191.7980	   7.8280	1-0-00-0000-0000	0001
2015-08-09 14:42:00	1439131320	374.9071	69.7873	49.1539	407.5170	399.8770	3986.0430	 537.5870	   6.1540	1-0-00-0000-0000	0001
2015-08-09 17:42:00	1439142120	374.8863	69.9642	49.1525	423.5510	400.1710	3986.0830	 813.9070	   6.7120	1-0-00-0000-0000	0001
2015-08-09 20:42:00	1439152920	374.8698	68.1356	49.1407	406.3010	400.6900	3986.0850	 628.0730	   6.2380	1-0-00-0000-0000	0001
2015-08-09 23:42:00	1439163720	374.8394	68.0086	49.1470	426.9350	400.3290	3985.1400	 690.7390	   6.7770	1-0-00-0000-0000	0001
2015-08-10 02:42:00	1439174520	374.8663	68.3577	49.1477	416.5620	400.3170	3986.0050	 816.9560	   6.8010	1-0-00-0000-0000	0001
2015-08-10 05:42:00	1439185320	374.8511	68.2474	49.1449	424.8950	401.0190	3985.7140	 854.8300	   7.3410	1-0-00-0000-0000	0001
2015-08-10 08:42:00	1439196120	374.8256	68.7190	49.1491	418.5480	400.5450	3984.7070	 756.7970	   7.1660	1-0-00-0000-0000	0001
2015-08-10 11:42:00	1439206920	374.8677	69.3627	49.1435	411.5090	400.7920	3985.4790	 404.4520	   6.1520	1-0-00-0000-0000	0001
2015-08-10 14:42:00	1439217720	374.8684	70.5885	49.1463	414.8680	400.4910	3985.9280	 695.2660	   6.8620	1-0-00-0000-0000	0001
