time	epoch_time	bin_INC1	bin_INC2	bin_INC_valve	bin_TANK	bin_WORK	bin_cal1	TANKcode	RH	T	flow	exhaust	p_flow	CLD_NO	CLD_NO360	CLD_Temp	CLD_Press	CLD_warning	CLD_error	TANK_CLD_NO	TANK_N2O_ppb	TANK_CO2_ppm	TANK_CH4_ppb	TANK_H2O_ppm	TANK_NH3_ppb	PIC_time	PIC_epoch_time	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	days	MEANflow	MEANp_flow	start	end
2015-08-06 14:06:00	1438869960	0-0-0-0000-0001	0-1-00-0000-0000	0001	0	0	0-0000	1	43.7880	17.3463	374.9236	51.6758	407.0017	-0.0098	-0.0096	45.0000	20.8167	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 14:06:00	1438866360.676	323.0624	459.0019	2092.0868	8481.0430	12.7240	-5.0812	5.8880	407.0520	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 14:24:00	1438871040	0-1-0-0000-0000	0-0-00-0000-0100	0010	0	0	0-0000	1	43.6940	17.3632	374.8698	65.5834	406.9656	0.0857	0.0858	45.0000	20.9000	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 14:24:00	1438867440.642	316.0929	458.7383	2090.7529	8692.1540	13.7160	-5.0687	374.9345	406.9931	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 14:42:00	1438872120	0-0-0-0000-0100	0-1-00-0000-0000	0001	0	0	0-0000	1	43.7632	17.3515	374.8801	67.2381	407.0420	0.0517	0.0519	45.0000	20.8833	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 14:42:00	1438868520.648	312.1858	458.9290	2091.3928	9612.5230	13.3160	-5.0563	374.9106	407.0205	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:00:00	1438873200	0-1-0-0000-0000	0-0-00-0001-0000	0010	0	0	0-0000	1	43.9077	17.3298	374.9354	67.7599	406.9823	-0.0313	-0.0331	45.0000	20.8833	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 15:00:00	1438869600.813	309.8946	459.1767	2090.6005	8823.7150	12.4060	-5.0438	374.9395	407.0410	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:18:00	1438874280	0-0-0-0001-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.0492	17.3235	374.9519	67.8412	407.0073	-0.0224	-0.0242	45.0000	20.8000	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 15:18:00	1438870680.166	320.9323	458.6304	2091.8825	9251.6110	12.4370	-5.0312	374.9028	407.0088	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:36:00	1438875360	0-1-0-0000-0000	0-0-00-0100-0000	0010	0	0	0-0000	1	44.1418	17.3403	374.9160	67.6802	407.0149	0.1373	0.1375	45.0000	20.8167	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 15:36:00	1438871761.251	320.9943	458.8611	2091.0069	9155.0350	11.8120	-5.0187	374.9191	406.9829	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:54:00	1438876440	0-0-0-0100-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.2278	17.3673	374.8981	67.7760	406.9677	0.0590	0.0590	45.0000	20.8167	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 15:54:00	1438872840.389	320.6888	459.0708	2091.1853	9193.4130	13.5170	-5.0062	374.9140	407.0244	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:12:00	1438877520	0-1-0-0000-0000	0-0-01-0000-0000	0010	0	0	0-0000	1	44.3782	17.3857	374.5266	67.6846	406.6011	-0.0197	-0.0194	45.0000	20.7667	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 16:12:00	1438873920.051	329.8029	459.4403	2091.1366	8968.5020	13.7770	-4.9938	374.9285	406.9924	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:30:00	1438878600	0-0-1-0000-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.6360	17.3778	374.8891	68.0778	49.1755	0.0527	0.0528	45.0000	20.7500	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 16:30:00	1438875000.534	318.5364	459.4383	2091.5701	8881.0470	14.1140	-4.9813	374.9497	407.0355	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:48:00	1438879680	0-1-0-0000-0000	0-0-00-0000-0000	0010	0	0	0-0000	1	43.7207	17.3648	374.8622	62.9322	49.1789	0.0037	0.0037	45.0000	20.8167	0.0000	0.0000	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 16:48:00	1438876080.157	321.8819	459.9846	2091.9138	8773.5030	13.8930	-4.9688	374.9526	407.0077	2015-08-06 13:49:00	2015-08-06 16:48:00
