PIC_time	PIC_epoch_time	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	time	epoch_time	bin_INC1	bin_INC2	bin_INC_valve	bin_TANK	bin_WORK	bin_cal1	TANKcode	RH	T	flow	exhaust	p_flow	CLD_NO	CLD_NO360	CLD_Temp	CLD_Press	CLD_warning	CLD_error	start	end
2015-08-06 14:06:00	1438866360.676	333.0540	459.6040	1935.4060	8481.0430	12.7240	2015-08-06 14:06:00	1438869960	0-0-0-0000-0001	0-1-00-0000-0000	0001	0	0	0-0000	1	43.7880	17.3463	374.9236	51.6758	407.0017	0.0131	0.0133	45.0000	20.8167	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 14:24:00	1438867440.642	325.8690	459.3400	1934.1720	8692.1540	13.7160	2015-08-06 14:24:00	1438871040	0-1-0-0000-0000	0-0-00-0000-0100	0010	0	0	0-0000	1	43.6940	17.3632	374.8698	65.5834	406.9656	0.1202	0.1203	45.0000	20.9000	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 14:42:00	1438868520.648	321.8410	459.5310	1934.7640	9612.5230	13.3160	2015-08-06 14:42:00	1438872120	0-0-0-0000-0100	0-1-00-0000-0000	0001	0	0	0-0000	1	43.7632	17.3515	374.8801	67.2381	407.0420	0.0821	0.0823	45.0000	20.8833	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:00:00	1438869600.813	319.4790	459.7790	1934.0310	8823.7150	12.4060	2015-08-06 15:00:00	1438873200	0-1-0-0000-0000	0-0-00-0001-0000	0010	0	0	0-0000	1	43.9077	17.3298	374.9354	67.7599	406.9823	-0.0110	-0.0130	45.0000	20.8833	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:18:00	1438870680.166	330.8580	459.2320	1935.2170	9251.6110	12.4370	2015-08-06 15:18:00	1438874280	0-0-0-0001-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.0492	17.3235	374.9519	67.8412	407.0073	-0.0010	-0.0030	45.0000	20.8000	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:36:00	1438871761.251	330.9220	459.4630	1934.4070	9155.0350	11.8120	2015-08-06 15:36:00	1438875360	0-1-0-0000-0000	0-0-00-0100-0000	0010	0	0	0-0000	1	44.1418	17.3403	374.9160	67.6802	407.0149	0.1781	0.1783	45.0000	20.8167	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 15:54:00	1438872840.389	330.6070	459.6730	1934.5720	9193.4130	13.5170	2015-08-06 15:54:00	1438876440	0-0-0-0100-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.2278	17.3673	374.8981	67.7760	406.9677	0.0903	0.0903	45.0000	20.8167	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:12:00	1438873920.051	340.0030	460.0430	1934.5270	8968.5020	13.7770	2015-08-06 16:12:00	1438877520	0-1-0-0000-0000	0-0-01-0000-0000	0010	0	0	0-0000	1	44.3782	17.3857	374.5266	67.6846	406.6011	0.0020	0.0023	45.0000	20.7667	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:30:00	1438875000.534	328.3880	460.0410	1934.9280	8881.0470	14.1140	2015-08-06 16:30:00	1438878600	0-0-1-0000-0000	0-1-00-0000-0000	0001	0	0	0-0000	1	44.6360	17.3778	374.8891	68.0778	49.1755	0.0832	0.0833	45.0000	20.7500	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 16:48:00	1438876080.157	331.8370	460.5880	1935.2460	8773.5030	13.8930	2015-08-06 16:48:00	1438879680	0-1-0-0000-0000	0-0-00-0000-0000	0010	0	0	0-0000	1	43.7207	17.3648	374.8622	62.9322	49.1789	0.0282	0.0283	45.0000	20.8167	0.0000	0.0000	2015-08-06 13:49:00	2015-08-06 16:48:00
2015-08-06 17:06:00	1438877160.226	330.6590	442.4630	1931.1470	8346.9440	13.4850	2015-08-06 17:06:00	1438880760	0-0-0-0000-0001	0-1-00-0000-0000	0001	0	0	0-0000	2	42.0860	17.7305	374.9602	58.5462	407.0288	0.1711	0.1717	45.0125	20.8500	0.0000	0.0000	2015-08-06 16:49:00	2015-08-06 19:48:00
2015-08-06 17:24:00	1438878240.962	327.6500	442.5660	1930.3660	8604.2790	13.1180	2015-08-06 17:24:00	1438881840	0-1-0-0000-0000	0-0-00-0000-0100	0010	0	0	0-0000	2	41.6112	18.0283	374.9430	66.6980	407.0135	0.0742	0.0749	45.0042	20.8333	0.0000	0.0000	2015-08-06 16:49:00	2015-08-06 19:48:00
2015-08-06 17:42:00	1438879320.238	325.0860	442.7960	1930.8850	8684.3410	12.9420	2015-08-06 17:42:00	1438882920	0-0-0-0000-0100	0-1-00-0000-0000	0001	0	0	0-0000	2	43.0178	17.4373	374.9271	67.6874	406.9823	-0.0600	-0.0640	45.0000	20.7333	0.0000	0.0000	2015-08-06 16:49:00	2015-08-06 19:48:00
