TANKcode	TANK_CLD_NO	TANK_N2O_ppb	TANK_CO2_ppm	TANK_CH4_ppb	TANK_H2O_ppm	TANK_NH3_ppb	start	end	days
1	0.0277	320.8105	459.0364	2091.2890	8924.7745	13.4165	2015-08-06 13:49:00	2015-08-06 16:48:00	-5.093056
2	0.0580	321.2451	442.1039	2087.2323	8807.2000	13.2815	2015-08-06 16:49:00	2015-08-06 19:48:00	-4.968056
3	-0.0304	322.5594	436.3310	2075.0267	8619.8880	12.8745	2015-08-06 19:49:00	2015-08-06 22:48:00	-4.843056
4	0.1363	317.9461	470.5884	2080.9530	8531.8280	13.1460	2015-08-06 22:49:00	2015-08-07 01:48:00	-4.718056
5	0.2234	316.8272	487.3441	2088.7636	8639.6180	13.1900	2015-08-07 01:49:00	2015-08-07 04:48:00	-4.593056
6	0.2980	315.7190	533.9235	2089.7900	8564.7310	13.2240	2015-08-07 04:49:00	2015-08-07 07:48:00	-4.468056
7	0.0659	321.1971	538.9827	2087.7074	8617.8090	13.2240	2015-08-07 07:49:00	2015-08-07 10:45:00	-4.343056
8	0.0675	319.5786	497.9022	2080.5751	8814.5250	14.6870	2015-08-07 11:37:00	2015-08-07 14:36:00	-4.184722
9	0.0102	317.8326	469.2083	2083.4836	8851.0845	13.9920	2015-08-07 14:37:00	2015-08-07 17:36:00	-4.059722
10	0.0631	322.0245	436.8718	2082.8097	8717.9045	13.7915	2015-08-07 17:37:00	2015-08-07 20:36:00	-3.934722
11	0.1261	324.3578	433.6033	2079.8367	8663.7990	13.6380	2015-08-07 20:37:00	2015-08-07 23:36:00	-3.809722
12	0.2779	321.2252	476.5571	2091.2977	8674.8155	13.4170	2015-08-07 23:37:00	2015-08-08 02:36:00	-3.684722
13	0.2845	319.6465	520.4872	2098.7553	8581.9875	13.8500	2015-08-08 02:37:00	2015-08-08 05:36:00	-3.559722
14	0.4377	314.9008	522.5573	2090.1443	8681.1990	14.3125	2015-08-08 05:37:00	2015-08-08 08:36:00	-3.434722
15	0.1861	315.1874	489.4156	2083.7941	8756.1895	14.8600	2015-08-08 08:37:00	2015-08-08 11:36:00	-3.309722
16	0.1147	317.3340	452.5624	2090.3151	8673.7725	14.5155	2015-08-08 11:37:00	2015-08-08 14:36:00	-3.184722
17	0.1074	322.1137	431.5331	2098.3377	8700.0875	15.3690	2015-08-08 14:37:00	2015-08-08 17:36:00	-3.059722
18	0.1573	320.8231	417.7087	2090.2982	8734.9810	15.2580	2015-08-08 17:37:00	2015-08-08 20:36:00	-2.934722
19	0.2318	318.7260	417.1629	2079.2350	8736.6275	15.1530	2015-08-08 20:37:00	2015-08-08 23:36:00	-2.809722
20	0.3882	319.2949	433.7156	2071.9442	8723.4000	15.9985	2015-08-08 23:37:00	2015-08-09 02:36:00	-2.684722
21	0.4246	317.5494	456.2033	2073.0670	8668.9490	16.3785	2015-08-09 02:37:00	2015-08-09 05:36:00	-2.559722
22	0.4833	309.7632	475.3513	2071.6435	8673.7275	16.7775	2015-08-09 05:37:00	2015-08-09 08:36:00	-2.434722
23	0.2072	315.9397	450.1592	2056.5342	8792.0100	17.2530	2015-08-09 08:37:00	2015-08-09 11:36:00	-2.309722
24	0.1026	310.0620	427.8860	2045.5824	8835.7065	18.0015	2015-08-09 11:37:00	2015-08-09 14:36:00	-2.184722
25	-0.0094	309.1346	418.5625	2064.7471	8880.9100	17.8975	2015-08-09 14:37:00	2015-08-09 17:36:00	-2.059722
26	0.0147	315.7214	410.4233	2093.4656	8812.5080	18.0380	2015-08-09 17:37:00	2015-08-09 20:36:00	-1.934722
27	0.0263	310.7657	409.4318	2079.9204	8730.1895	18.1940	2015-08-09 20:37:00	2015-08-09 23:36:00	-1.809722
28	0.0375	320.6432	418.0671	2069.6488	8797.8775	18.5935	2015-08-09 23:37:00	2015-08-10 02:36:00	-1.684722
29	0.2444	317.2220	449.8713	2088.9010	8798.3110	19.3215	2015-08-10 02:37:00	2015-08-10 05:36:00	-1.559722
30	0.3530	314.4638	473.0764	2096.4801	8833.5880	19.3255	2015-08-10 05:37:00	2015-08-10 08:36:00	-1.434722
31	0.0332	313.3973	454.5795	2082.8687	8840.6690	19.3530	2015-08-10 08:37:00	2015-08-10 11:36:00	-1.309722
32	0.0655	316.2375	434.7072	2076.7854	8958.4490	20.0690	2015-08-10 11:37:00	2015-08-10 14:36:00	-1.184722
33	0.0254	319.2629	421.8468	2078.6614	8819.5860	20.4345	2015-08-10 14:37:00	2015-08-10 17:36:00	-1.059722
34	0.0456	317.3539	407.9727	2081.2445	8750.7700	20.1110	2015-08-10 17:37:00	2015-08-10 20:36:00	-0.934722
35	0.3638	316.0507	408.8265	2083.0670	8751.0330	20.4445	2015-08-10 20:37:00	2015-08-10 23:36:00	-0.809722
36	0.5982	319.3904	424.4943	2088.2888	8758.3535	21.0630	2015-08-10 23:37:00	2015-08-11 02:36:00	-0.684722
37	0.9450	319.4433	453.2369	2097.9724	8779.1440	21.3415	2015-08-11 02:37:00	2015-08-11 05:36:00	-0.559722
38	0.6889	318.3947	475.6997	2111.6039	8809.2755	21.3075	2015-08-11 05:37:00	2015-08-11 08:36:00	-0.434722
39	   NA	   NA	   NA	   NA	   NA	   NA	NA	NA	     NA
40	-0.0991	317.9844	485.7480	2119.5673	8830.5100	22.2635	2015-08-11 08:55:00	2015-08-11 11:54:00	-0.297222
