TANKcode	TANK_CLD_NO	TANK_N2O_ppb	TANK_CO2_ppm	TANK_CH4_ppb	TANK_H2O_ppm	TANK_NH3_ppb	start	end	days
1	0.0552	330.7325	459.6385	1934.6680	8924.7745	13.4165	2015-08-06 13:49:00	2015-08-06 16:48:00	-5.093056
2	0.0892	331.1805	442.8805	1930.4825	8807.2000	13.2815	2015-08-06 16:49:00	2015-08-06 19:48:00	-4.968056
3	-0.0100	332.5355	437.0125	1919.0590	8619.8880	12.8745	2015-08-06 19:49:00	2015-08-06 22:48:00	-4.843056
4	0.1772	327.7795	471.3515	1924.8430	8531.8280	13.1460	2015-08-06 22:49:00	2015-08-07 01:48:00	-4.718056
5	0.2755	326.6260	488.1000	1932.4260	8639.6180	13.1900	2015-08-07 01:49:00	2015-08-07 04:48:00	-4.593056
6	0.3597	325.4835	534.7270	1933.6185	8564.7310	13.2240	2015-08-07 04:49:00	2015-08-07 07:48:00	-4.468056
7	0.1011	331.1310	540.0520	1931.8800	8617.8090	13.2240	2015-08-07 07:49:00	2015-08-07 10:45:00	-4.343056
8	0.1045	329.4625	498.8175	1924.7915	8814.5250	14.6870	2015-08-07 11:37:00	2015-08-07 14:36:00	-4.184722
9	0.0421	327.6625	469.7735	1927.1105	8851.0845	13.9920	2015-08-07 14:37:00	2015-08-07 17:36:00	-4.059722
10	0.1021	331.9840	437.0475	1926.5305	8717.9045	13.7915	2015-08-07 17:37:00	2015-08-07 20:36:00	-3.934722
11	0.1701	334.3895	434.2495	1924.2845	8663.7990	13.6380	2015-08-07 20:37:00	2015-08-07 23:36:00	-3.809722
12	0.3146	331.1600	477.0840	1935.1410	8674.8155	13.4170	2015-08-07 23:37:00	2015-08-08 02:36:00	-3.684722
13	0.3112	329.5325	521.6075	1941.6845	8581.9875	13.8500	2015-08-08 02:37:00	2015-08-08 05:36:00	-3.559722
14	0.4592	324.6400	523.8355	1933.7570	8681.1990	14.3125	2015-08-08 05:37:00	2015-08-08 08:36:00	-3.434722
15	0.1590	324.9355	490.3815	1928.2275	8756.1895	14.8600	2015-08-08 08:37:00	2015-08-08 11:36:00	-3.309722
16	0.0457	327.1485	453.2990	1934.1750	8673.7725	14.5155	2015-08-08 11:37:00	2015-08-08 14:36:00	-3.184722
17	0.0311	332.0760	432.0680	1941.2750	8700.0875	15.3690	2015-08-08 14:37:00	2015-08-08 17:36:00	-3.059722
18	0.0536	330.7455	417.9650	1933.9070	8734.9810	15.2580	2015-08-08 17:37:00	2015-08-08 20:36:00	-2.934722
19	0.1212	328.5835	417.4810	1923.6075	8736.6275	15.1530	2015-08-08 20:37:00	2015-08-08 23:36:00	-2.809722
20	0.3081	329.1700	434.2045	1916.9510	8723.4000	15.9985	2015-08-08 23:37:00	2015-08-09 02:36:00	-2.684722
21	0.3701	327.3705	456.9500	1917.8735	8668.9490	16.3785	2015-08-09 02:37:00	2015-08-09 05:36:00	-2.559722
22	0.4577	319.3435	476.1475	1916.1445	8673.7275	16.7775	2015-08-09 05:37:00	2015-08-09 08:36:00	-2.434722
23	0.1726	325.7110	450.8470	1902.1245	8792.0100	17.2530	2015-08-09 08:37:00	2015-08-09 11:36:00	-2.309722
24	0.0781	319.6515	428.2655	1892.3850	8835.7065	18.0015	2015-08-09 11:37:00	2015-08-09 14:36:00	-2.184722
25	-0.0265	318.6955	418.4540	1910.4505	8880.9100	17.8975	2015-08-09 14:37:00	2015-08-09 17:36:00	-2.059722
26	0.0221	325.4860	410.8060	1937.0310	8812.5080	18.0380	2015-08-09 17:37:00	2015-08-09 20:36:00	-1.934722
27	0.0602	320.3770	409.9740	1924.1725	8730.1895	18.1940	2015-08-09 20:37:00	2015-08-09 23:36:00	-1.809722
28	0.0702	330.5600	418.3005	1914.8380	8797.8775	18.5935	2015-08-09 23:37:00	2015-08-10 02:36:00	-1.684722
29	0.2835	327.0330	450.4570	1932.6680	8798.3110	19.3215	2015-08-10 02:37:00	2015-08-10 05:36:00	-1.559722
30	0.3931	324.1895	473.9710	1939.4855	8833.5880	19.3255	2015-08-10 05:37:00	2015-08-10 08:36:00	-1.434722
31	0.0330	323.0900	455.2325	1926.7610	8840.6690	19.3530	2015-08-10 08:37:00	2015-08-10 11:36:00	-1.309722
32	0.0601	326.0180	435.3720	1921.4180	8958.4490	20.0690	2015-08-10 11:37:00	2015-08-10 14:36:00	-1.184722
33	0.0090	329.1370	422.6210	1923.2040	8819.5860	20.4345	2015-08-10 14:37:00	2015-08-10 17:36:00	-1.059722
34	0.0132	327.1690	408.9430	1925.7005	8750.7700	20.1110	2015-08-10 17:37:00	2015-08-10 20:36:00	-0.934722
35	0.3627	325.8255	409.5955	1927.4290	8751.0330	20.4445	2015-08-10 20:37:00	2015-08-10 23:36:00	-0.809722
36	0.6416	329.2685	425.3960	1931.9780	8758.3535	21.0630	2015-08-10 23:37:00	2015-08-11 02:36:00	-0.684722
37	1.0486	329.3230	454.0015	1940.9180	8779.1440	21.3415	2015-08-11 02:37:00	2015-08-11 05:36:00	-0.559722
38	0.7960	328.2420	476.5900	1953.5180	8809.2755	21.3075	2015-08-11 05:37:00	2015-08-11 08:36:00	-0.434722
39	   NA	   NA	   NA	   NA	   NA	   NA	NA	NA	     NA
40	-0.0204	327.8190	486.5150	1961.0625	8830.5100	22.2635	2015-08-11 08:55:00	2015-08-11 11:54:00	-0.297222
41	0.0121	331.6355	464.9925	1967.3835	8677.2650	19.0745	2015-08-11 11:55:00	2015-08-11 14:42:00	-0.172222
42	-0.0565	327.6090	447.3525	1974.6535	9471.0335	19.5480	2015-08-11 14:43:00	2015-08-11 18:42:00	-0.055556
43	0.0207	331.7790	417.1105	1972.8615	9418.4595	28.6290	2015-08-11 18:43:00	2015-08-11 21:42:00	0.111111
44	0.1287	332.7710	429.8735	1971.8840	8902.2440	28.7255	2015-08-11 21:43:00	2015-08-12 00:42:00	0.236111
45	0.1177	329.0960	469.9560	1980.1150	8793.6510	28.4620	2015-08-12 00:43:00	2015-08-12 03:42:00	0.361111
46	0.2060	336.5675	515.7260	1985.9280	8770.4660	27.8635	2015-08-12 03:43:00	2015-08-12 06:42:00	0.486111
47	0.0446	339.0980	551.7140	1989.8320	8679.4590	24.2020	2015-08-12 06:43:00	2015-08-12 09:42:00	0.611111
48	0.0552	333.2100	527.5680	1980.7525	8760.8275	30.3060	2015-08-12 09:43:00	2015-08-12 12:42:00	0.736111
49	0.0026	331.8075	486.7695	1973.9840	8829.4220	28.3680	2015-08-12 12:43:00	2015-08-12 15:42:00	0.861111
50	0.0157	327.9770	454.5715	1970.1185	8967.2795	28.0745	2015-08-12 15:43:00	2015-08-12 18:42:00	0.986111
51	0.0070	329.3390	434.9380	1963.5120	8838.4965	27.2045	2015-08-12 18:43:00	2015-08-12 21:42:00	1.111111
52	0.0282	326.4445	445.1475	1971.6950	8857.1800	27.1840	2015-08-12 21:43:00	2015-08-13 00:42:00	1.236111
53	0.0286	334.7380	502.9795	1981.6890	8981.7865	26.7370	2015-08-13 00:43:00	2015-08-13 03:42:00	1.361111
54	0.0968	328.3555	543.7535	1984.2830	8924.6000	27.3125	2015-08-13 03:43:00	2015-08-13 06:42:00	1.486111
55	0.1791	331.2460	558.9915	1987.7690	8940.2585	27.7705	2015-08-13 06:43:00	2015-08-13 09:42:00	1.611111
56	-0.0189	331.8345	526.3190	1977.8500	8966.3920	27.6970	2015-08-13 09:43:00	2015-08-13 12:42:00	1.736111
57	-0.0115	327.7100	484.6240	1962.8350	8906.0955	28.7215	2015-08-13 12:43:00	2015-08-13 15:42:00	1.861111
58	0.0292	331.9090	451.9135	1948.9500	9104.0025	29.6635	2015-08-13 15:43:00	2015-08-13 18:42:00	1.986111
59	0.0614	327.3785	432.6210	1938.6815	8985.6915	29.9160	2015-08-13 18:43:00	2015-08-13 21:42:00	2.111111
60	0.0406	326.9075	444.6105	1943.3345	9018.6820	30.2020	2015-08-13 21:43:00	2015-08-14 00:42:00	2.236111
61	0.0346	330.9275	482.6165	1957.9975	8919.0325	30.2915	2015-08-14 00:43:00	2015-08-14 03:42:00	2.361111
62	0.1373	328.7460	505.5130	1968.6935	8951.7535	30.7675	2015-08-14 03:43:00	2015-08-14 06:42:00	2.486111
63	0.0786	334.5445	516.0555	1981.9115	8893.7220	30.3850	2015-08-14 06:43:00	2015-08-14 09:42:00	2.611111
64	-0.0230	331.4960	500.6480	1989.3040	8840.3040	25.2830	2015-08-14 09:43:00	2015-08-14 11:57:00	2.736111
65	-0.0310	332.5245	488.9890	1990.5750	9207.0625	34.7300	2015-08-14 12:07:00	2015-08-14 15:06:00	2.836111
66	0.0036	327.5710	447.4175	1992.1530	9055.6635	30.1235	2015-08-14 15:07:00	2015-08-14 18:06:00	2.961111
67	-0.0660	330.0190	427.7310	1989.5585	8888.0725	29.7730	2015-08-14 18:07:00	2015-08-14 21:06:00	3.086111
68	-0.0410	329.0570	418.9695	1984.4155	8932.1595	29.9700	2015-08-14 21:07:00	2015-08-15 00:06:00	3.211111
69	-0.0560	331.0720	416.7145	1981.2950	8886.8890	29.4045	2015-08-15 00:07:00	2015-08-15 03:06:00	3.336111
