TANKcode	TANK_CLD_NO_sd	TANK_N2O_ppb_sd	TANK_CO2_ppm_sd	TANK_CH4_ppb_sd	TANK_H2O_ppm_sd	TANK_NH3_ppb_sd	start	end
1	0.0555	5.6610	0.4027	0.5059	326.3838	0.7736	2015-08-06 13:49:00	2015-08-06 16:48:00
2	0.0711	4.7307	0.6945	0.6036	270.2201	0.7630	2015-08-06 16:49:00	2015-08-06 19:48:00
3	0.1252	6.3494	0.4781	0.4195	261.0197	0.8853	2015-08-06 19:49:00	2015-08-06 22:48:00
4	0.0875	5.2280	0.3377	0.6182	256.9300	0.8394	2015-08-06 22:49:00	2015-08-07 01:48:00
5	0.0663	9.7879	0.5897	0.4436	385.6676	0.8365	2015-08-07 01:49:00	2015-08-07 04:48:00
6	0.5197	9.1697	0.4128	0.3213	261.4974	0.9985	2015-08-07 04:49:00	2015-08-07 07:48:00
7	0.2384	7.7247	0.4606	0.4531	442.1120	0.9041	2015-08-07 07:49:00	2015-08-07 10:45:00
8	0.1050	4.2676	0.4824	0.4370	392.1302	0.7020	2015-08-07 11:37:00	2015-08-07 14:36:00
9	0.1301	8.9463	1.2636	0.4243	431.7691	0.9709	2015-08-07 14:37:00	2015-08-07 17:36:00
10	0.0674	5.4516	0.7131	0.3583	441.0730	0.9310	2015-08-07 17:37:00	2015-08-07 20:36:00
11	0.0437	7.2785	0.4559	0.5536	242.8180	0.7743	2015-08-07 20:37:00	2015-08-07 23:36:00
12	0.1087	9.2564	0.2782	0.3576	417.4062	1.1633	2015-08-07 23:37:00	2015-08-08 02:36:00
13	0.0808	3.7506	0.4320	0.4908	248.8264	1.0656	2015-08-08 02:37:00	2015-08-08 05:36:00
14	0.1537	4.4929	0.5411	0.4493	478.1708	1.3375	2015-08-08 05:37:00	2015-08-08 08:36:00
15	0.0503	3.1226	0.5771	0.5780	751.5117	1.6558	2015-08-08 08:37:00	2015-08-08 11:36:00
16	0.0727	7.0666	0.3700	0.4944	337.8814	1.4390	2015-08-08 11:37:00	2015-08-08 14:36:00
17	0.0927	7.8021	0.4729	0.6117	822.9635	1.3436	2015-08-08 14:37:00	2015-08-08 17:36:00
18	0.1375	7.3886	0.4167	0.3222	915.7571	1.4202	2015-08-08 17:37:00	2015-08-08 20:36:00
19	0.0889	5.8090	0.3220	0.4810	387.9882	1.8985	2015-08-08 20:37:00	2015-08-08 23:36:00
20	0.0751	7.9836	0.3746	0.5220	525.6628	1.8878	2015-08-08 23:37:00	2015-08-09 02:36:00
21	0.0801	8.7606	0.3897	0.4717	246.5553	1.7729	2015-08-09 02:37:00	2015-08-09 05:36:00
22	0.1465	7.1624	0.4328	0.6651	342.3633	1.8009	2015-08-09 05:37:00	2015-08-09 08:36:00
23	0.1548	6.1509	0.4921	0.4607	929.7726	1.8817	2015-08-09 08:37:00	2015-08-09 11:36:00
24	0.1268	6.5380	0.6356	0.4768	759.7220	1.9746	2015-08-09 11:37:00	2015-08-09 14:36:00
25	0.1184	8.6845	0.8888	0.5479	639.4299	1.8424	2015-08-09 14:37:00	2015-08-09 17:36:00
26	0.0764	5.2227	0.3278	0.4360	592.5999	1.7406	2015-08-09 17:37:00	2015-08-09 20:36:00
27	0.0939	7.5065	0.4701	0.4059	501.4213	1.8601	2015-08-09 20:37:00	2015-08-09 23:36:00
28	0.0648	7.4832	0.4193	0.3471	624.4408	2.0042	2015-08-09 23:37:00	2015-08-10 02:36:00
29	0.1376	3.9812	0.4040	0.3056	462.9844	2.1312	2015-08-10 02:37:00	2015-08-10 05:36:00
30	1.5187	6.9802	0.5787	0.4300	485.2522	2.1223	2015-08-10 05:37:00	2015-08-10 08:36:00
31	0.0717	5.6241	0.2752	0.4915	516.2275	2.2083	2015-08-10 08:37:00	2015-08-10 11:36:00
32	0.0618	7.0625	0.6372	0.5299	457.1099	2.5560	2015-08-10 11:37:00	2015-08-10 14:36:00
33	0.0672	4.8709	0.2481	0.4219	412.7406	2.4736	2015-08-10 14:37:00	2015-08-10 17:36:00
34	0.0934	3.5715	0.3448	0.4628	526.2131	2.2240	2015-08-10 17:37:00	2015-08-10 20:36:00
