TANKcode	TANK_CLD_NO_sd	TANK_N2O_ppb_sd	TANK_CO2_ppm_sd	TANK_CH4_ppb_sd	TANK_H2O_ppm_sd	TANK_NH3_ppb_sd	start	end
1	0.0622	5.8361	0.4032	0.4680	326.3838	0.7736	2015-08-06 13:49:00	2015-08-06 16:48:00
2	0.0797	4.8770	0.8010	0.5672	270.2201	0.7630	2015-08-06 16:49:00	2015-08-06 19:48:00
3	0.1404	6.5458	0.3429	0.3905	261.0197	0.8853	2015-08-06 19:49:00	2015-08-06 22:48:00
4	0.0982	5.3897	0.2735	0.5073	256.9300	0.8394	2015-08-06 22:49:00	2015-08-07 01:48:00
5	0.0743	10.0906	0.4133	0.3920	385.6676	0.8365	2015-08-07 01:49:00	2015-08-07 04:48:00
6	0.5812	9.4532	0.4522	0.2540	261.4974	0.9985	2015-08-07 04:49:00	2015-08-07 07:48:00
7	0.2662	7.9637	0.4415	0.3982	442.1120	0.9041	2015-08-07 07:49:00	2015-08-07 10:45:00
8	0.1172	4.3996	0.4617	0.4084	392.1302	0.7020	2015-08-07 11:37:00	2015-08-07 14:36:00
9	0.1450	9.2230	1.0905	0.4188	431.7691	0.9709	2015-08-07 14:37:00	2015-08-07 17:36:00
10	0.0752	5.6202	0.8544	0.3179	441.0730	0.9310	2015-08-07 17:37:00	2015-08-07 20:36:00
11	0.0487	7.5037	0.3934	0.4101	242.8180	0.7743	2015-08-07 20:37:00	2015-08-07 23:36:00
12	0.1213	9.5427	0.3430	0.3807	417.4062	1.1633	2015-08-07 23:37:00	2015-08-08 02:36:00
13	0.0907	3.8666	0.5355	0.4875	248.8264	1.0656	2015-08-08 02:37:00	2015-08-08 05:36:00
14	0.1681	4.6319	0.4821	0.3569	478.1708	1.3375	2015-08-08 05:37:00	2015-08-08 08:36:00
15	0.0603	3.2192	0.5212	0.5423	751.5117	1.6558	2015-08-08 08:37:00	2015-08-08 11:36:00
16	0.0816	7.2851	0.3669	0.3719	337.8814	1.4390	2015-08-08 11:37:00	2015-08-08 14:36:00
17	0.1036	8.0434	0.4075	0.5431	822.9635	1.3436	2015-08-08 14:37:00	2015-08-08 17:36:00
18	0.1485	7.6171	0.4113	0.3017	915.7571	1.4202	2015-08-08 17:37:00	2015-08-08 20:36:00
19	0.0994	5.9887	0.3074	0.4448	387.9882	1.8985	2015-08-08 20:37:00	2015-08-08 23:36:00
20	0.0892	8.2305	0.3860	0.4458	525.6628	1.8878	2015-08-08 23:37:00	2015-08-09 02:36:00
21	0.0903	9.0316	0.4256	0.4690	246.5553	1.7729	2015-08-09 02:37:00	2015-08-09 05:36:00
22	0.1590	7.3839	0.3988	0.6452	342.3633	1.8009	2015-08-09 05:37:00	2015-08-09 08:36:00
23	0.1651	6.3411	0.5021	0.4285	929.7726	1.8817	2015-08-09 08:37:00	2015-08-09 11:36:00
24	0.1391	6.7402	0.4132	0.2847	759.7220	1.9746	2015-08-09 11:37:00	2015-08-09 14:36:00
25	0.1310	8.9531	0.9678	0.5076	639.4299	1.8424	2015-08-09 14:37:00	2015-08-09 17:36:00
26	0.0844	5.3842	0.2868	0.4034	592.5999	1.7406	2015-08-09 17:37:00	2015-08-09 20:36:00
27	0.1017	7.7387	0.3941	0.4066	501.4213	1.8601	2015-08-09 20:37:00	2015-08-09 23:36:00
28	0.0691	7.7146	0.4175	0.3251	624.4408	2.0042	2015-08-09 23:37:00	2015-08-10 02:36:00
29	0.1490	4.1044	0.4087	0.2587	462.9844	2.1312	2015-08-10 02:37:00	2015-08-10 05:36:00
30	1.6629	7.1960	0.4348	0.4316	485.2522	2.1223	2015-08-10 05:37:00	2015-08-10 08:36:00
31	0.0790	5.7981	0.3313	0.4101	516.2275	2.2083	2015-08-10 08:37:00	2015-08-10 11:36:00
32	0.0677	7.2809	0.5545	0.4430	457.1099	2.5560	2015-08-10 11:37:00	2015-08-10 14:36:00
33	0.0734	5.0215	0.2546	0.4063	412.7406	2.4736	2015-08-10 14:37:00	2015-08-10 17:36:00
34	0.1001	3.6820	0.3340	0.3932	526.2131	2.2240	2015-08-10 17:37:00	2015-08-10 20:36:00
35	0.1825	8.6921	0.2772	0.5069	806.5670	2.4145	2015-08-10 20:37:00	2015-08-10 23:36:00
36	0.2049	6.7193	0.3968	0.5248	522.4257	2.6244	2015-08-10 23:37:00	2015-08-11 02:36:00
37	0.2203	9.1744	0.3507	0.4806	721.9841	2.7834	2015-08-11 02:37:00	2015-08-11 05:36:00
38	0.5897	6.6999	0.3073	0.3094	563.4657	2.8193	2015-08-11 05:37:00	2015-08-11 08:36:00
40	0.1092	7.6347	0.3651	0.3074	397.9843	2.7774	2015-08-11 08:55:00	2015-08-11 11:54:00
41	0.0545	3.9254	0.2367	0.4817	371.2237	1.3319	2015-08-11 11:55:00	2015-08-11 14:42:00
42	0.1289	5.2101	0.1384	0.1823	973.4734	1.2793	2015-08-11 14:43:00	2015-08-11 18:42:00
43	0.0752	4.5598	0.3012	0.4210	289.9239	7.4910	2015-08-11 18:43:00	2015-08-11 21:42:00
44	0.0755	7.1564	0.4032	0.5651	660.1886	6.3582	2015-08-11 21:43:00	2015-08-12 00:42:00
45	0.1061	4.4854	0.3070	0.2472	591.9047	4.6765	2015-08-12 00:43:00	2015-08-12 03:42:00
46	0.0840	6.3549	0.2234	0.6573	593.0900	5.2654	2015-08-12 03:43:00	2015-08-12 06:42:00
47	0.1698	5.4170	0.1713	0.3110	447.5276	4.4760	2015-08-12 06:43:00	2015-08-12 09:42:00
48	0.1221	7.0578	1.0726	0.4791	414.0892	4.2019	2015-08-12 09:43:00	2015-08-12 12:42:00
49	0.0788	4.6101	0.1908	0.2872	837.1480	4.8975	2015-08-12 12:43:00	2015-08-12 15:42:00
50	0.1218	9.3311	0.3247	0.4822	310.5705	4.9327	2015-08-12 15:43:00	2015-08-12 18:42:00
51	0.0953	8.0533	0.3329	0.3919	525.7729	4.4424	2015-08-12 18:43:00	2015-08-12 21:42:00
52	0.1018	7.0608	0.3171	0.3584	269.9081	5.1099	2015-08-12 21:43:00	2015-08-13 00:42:00
53	0.1209	6.5494	0.1259	0.3288	491.0402	5.3648	2015-08-13 00:43:00	2015-08-13 03:42:00
54	0.1404	8.3870	0.4514	0.4603	503.6796	5.7928	2015-08-13 03:43:00	2015-08-13 06:42:00
55	0.3022	5.8195	0.1709	0.4190	647.7087	6.5263	2015-08-13 06:43:00	2015-08-13 09:42:00
56	0.0996	5.1814	0.5163	0.2987	347.7011	6.5377	2015-08-13 09:43:00	2015-08-13 12:42:00
57	0.1205	5.6721	0.3987	0.3766	415.1742	7.4826	2015-08-13 12:43:00	2015-08-13 15:42:00
