time	days.origin	days.water	days.manure	CORE	treatment	NO	N2O	CO2	CH4	NH3	mNO	mN2O	mCO2	mCH4	mNH3	mH2O
2015-08-06 14:12:00	3.008333	-5.077083	-25.029861	CORE_01	AA_odd	4.1497	-10.3390	75.2527	-16.0424	18.4424	8.8910	-16.2441	275.7436	-21.4242	22.4245	3.0044
2015-08-06 14:18:00	3.012500	-5.072917	-25.025694	CORE_10	BB_even	8.6929	-29.1692	128.2415	-47.7050	18.2326	18.6250	-45.8289	469.9068	-63.7089	22.1693	2.6944
2015-08-06 14:30:00	3.020833	-5.064583	-25.017361	CORE_11	CB_odd	24.3890	-22.1816	123.3124	-56.7141	17.8488	52.2545	-34.8504	451.8455	-75.7403	21.7027	2.6105
2015-08-06 14:36:00	3.025000	-5.060417	-25.013194	CORE_02	AA_even	5.9540	-21.0881	111.5956	-40.4531	17.5487	12.7567	-33.1323	408.9121	-54.0241	21.3377	3.5454
2015-08-06 14:48:00	3.033333	-5.052083	-25.004861	CORE_03	BA_odd	3.2127	-16.8397	76.8107	-31.5940	16.5582	6.8833	-26.4576	281.4524	-42.1930	20.1335	3.2152
2015-08-06 14:54:00	3.037500	-5.047917	-25.000694	CORE_12	CB_even	2.1740	20.8799	49.0793	-13.3317	16.4402	4.6578	32.8053	179.8378	-17.8041	19.9899	2.5366
2015-08-06 15:06:00	3.045833	-5.039583	-24.992361	CORE_13	AC_odd	7.5982	-20.2178	108.4776	-53.9528	16.4367	16.2796	-31.7650	397.4872	-72.0527	19.9857	2.9416
2015-08-06 15:12:00	3.050000	-5.035417	-24.988194	CORE_04	BA_even	3.4814	-77.2417	84.0885	-45.9283	16.7278	7.4591	-121.3575	308.1198	-61.3361	20.3396	3.1861
2015-08-06 15:24:00	3.058333	-5.027083	-24.979861	CORE_05	CA_odd	6.4787	-16.1929	85.8813	-44.8570	17.0043	13.8808	-25.4413	314.6890	-59.9055	20.6758	3.5171
2015-08-06 15:30:00	3.062500	-5.022917	-24.975694	CORE_14	AC_even	26.6902	-11.1345	114.4873	-42.5245	16.2524	57.1851	-17.4938	419.5081	-56.7905	19.7615	2.8611
2015-08-06 15:42:00	3.070833	-5.014583	-24.967361	CORE_15	BC_odd	18.7942	-40.9399	135.2207	-42.8433	16.9836	40.2674	-64.3224	495.4799	-57.2161	20.6507	4.5522
2015-08-06 15:48:00	3.075000	-5.010417	-24.963194	CORE_06	CA_even	2.5047	-18.7880	87.7467	-42.6556	17.3175	5.3665	-29.5186	321.5244	-56.9655	21.0567	3.3502
2015-08-06 16:06:00	3.087500	-4.997917	-24.950694	CORE_16	BC_even	37.5787	-26.3983	99.6319	-53.9428	17.8418	80.5140	-41.4754	365.0746	-72.0393	21.6942	3.4270
2015-08-06 16:18:00	3.095833	-4.989583	-24.942361	CORE_17	CC_odd	6.3436	-16.1966	104.0974	-37.6131	18.9005	13.5916	-25.4472	381.4372	-50.2314	22.9815	3.5930
2015-08-06 16:24:00	3.100000	-4.985417	-24.938194	CORE_08	AB_even	2.0368	-26.8561	109.3078	-40.2881	18.8535	4.3639	-42.1947	400.5294	-53.8038	22.9243	2.9976
