days.origin	days.water	days.manure	code	NO	N2O	CO2	CH4	NH3	H2O
3.125	-4.960417	-24.913194	F07	3.3248	6.4367	77.2656	-32.1816	17.1884	11820.1581
3.25	-4.835417	-24.788194	F07	3.4288	-10.2819	77.3748	-31.4404	16.9738	12302.6834
3.375	-4.710417	-24.663194	F07	3.3883	-23.8600	75.2524	-31.2321	17.1890	12296.7928
3.5	-4.585417	-24.538194	F07	3.4292	-25.2249	74.0575	-32.1521	16.9545	11668.4431
3.625	-4.460417	-24.413194	F07	3.6595	10.8334	72.6019	-31.7691	16.7872	11625.6197
3.75	-4.335417	-24.288194	F07	3.5158	-22.4244	72.5838	-32.5080	17.0730	11626.3266
3.875	-4.210417	-24.163194	F07	3.3966	-38.6019	74.6213	-32.2027	18.3986	11930.9489
4	-4.085417	-24.038194	F07	3.4552	-19.9386	76.9370	-31.7667	18.5498	12276.4683
4.125	-3.960417	-23.913194	F07	3.4795	-7.4521	78.3876	-31.5669	18.0126	12284.1200
4.25	-3.835417	-23.788194	F07	3.3764	-9.7860	78.3709	-31.3269	18.2120	12271.2046
4.375	-3.710417	-23.663194	F07	3.3797	-9.3707	76.6907	-31.9209	18.0149	12453.3753
4.5	-3.585417	-23.538194	F07	3.5432	-29.6399	74.1703	-32.5114	18.0993	12400.1177
4.625	-3.460417	-23.413194	F07	3.5638	-20.4923	73.3507	-31.8387	18.2830	12203.0521
4.75	-3.335417	-23.288194	F07	3.4753	5.9041	74.9205	-31.8634	18.8402	12188.4178
4.875	-3.210417	-23.163194	F07	3.5352	-2.1412	76.7905	-33.0581	19.5726	12365.5578
5	-3.085417	-23.038194	F07	3.4832	-13.6399	77.7325	-33.0455	19.4760	12394.2424
5.125	-2.960417	-22.913194	F07	3.4426	-9.1702	77.9320	-32.2527	19.4283	12360.0889
5.25	-2.835417	-22.788194	F07	3.6939	0.4663	77.5030	-32.1764	19.6129	12400.2873
5.375	-2.710417	-22.663194	F07	3.8178	-9.9404	76.1301	-32.3153	19.7303	12401.0706
5.5	-2.585417	-22.538194	F07	3.6412	-18.5780	75.0539	-32.0794	19.9601	12459.3955
5.625	-2.460417	-22.413194	F07	3.6280	-12.3705	74.0332	-32.1427	20.2372	12446.0843
5.75	-2.335417	-22.288194	F07	3.7087	-17.7319	74.2257	-32.3464	20.6855	12367.3368
5.875	-2.210417	-22.163194	F07	3.6862	-19.3456	76.3968	-32.2217	21.0095	12353.4499
6	-2.085417	-22.038194	F07	3.6184	-17.2841	76.9932	-32.3043	21.3789	12460.5348
6.125	-1.960417	-21.913194	F07	3.6807	-21.6570	76.6814	-32.7220	21.7354	12539.3966
6.25	-1.835417	-21.788194	F07	3.5855	-25.7464	76.2915	-32.7461	21.6982	12449.5000
6.375	-1.710417	-21.663194	F07	3.5998	-27.2409	75.4592	-32.6906	21.5828	12392.1374
6.5	-1.585417	-21.538194	F07	3.7209	-26.7659	73.8358	-32.3794	22.0645	12251.9386
6.625	-1.460417	-21.413194	F07	3.8811	-26.0980	71.9801	-32.2887	22.0737	12241.0084
6.75	-1.335417	-21.288194	F07	3.8246	-34.7746	72.7374	-32.3653	22.2559	12333.6388
6.875	-1.210417	-21.163194	F07	3.5323	-33.3129	74.5351	-32.4052	22.7744	12119.1746
7	-1.085417	-21.038194	F07	3.4990	-27.1853	75.0496	-32.2093	23.2099	11945.5194
7.125	-0.960417	-20.913194	F07	3.5995	-28.9670	74.4728	-31.7513	23.8223	12107.5270
7.25	-0.835417	-20.788194	F07	3.5243	-21.6070	74.0479	-31.6413	23.7869	12395.2941
7.375	-0.710417	-20.663194	F07	3.7283	-27.3262	73.3966	-32.2276	23.5106	12328.6848
7.5	-0.585417	-20.538194	F07	3.8020	-35.6696	71.8072	-32.7340	23.9519	12285.1315
7.625	-0.460417	-20.413194	F07	3.9137	-4.2081	70.5010	-33.2114	24.4155	12100.1757
7.75	-0.335417	-20.288194	F07	3.9634	5.0122	69.7654	-32.9528	24.6714	12040.9485
7.875	-0.210417	-20.163194	F07	3.5880	-21.1214	63.8142	-32.5973	25.2620	12352.9622
8	-0.085417	-20.038194	F07	3.1382	11.6047	49.7701	-19.7369	25.7457	12633.1751
8.085417	0	-19.952778	F07	2.2175	91.5422	41.8118	0.7791	25.4327	12761.9218
8.210417	0.125	-19.827778	F07	2.4111	208.5235	47.8618	0.8809	27.5676	11252.2149
8.335417	0.25	-19.702778	F07	3.9025	325.5048	49.2754	0.5981	31.9596	13101.3003
8.460417	0.375	-19.577778	F07	4.7871	494.3640	48.9884	0.3810	33.6693	13913.1378
8.585417	0.5	-19.452778	F07	4.2392	663.3184	48.7929	0.3824	34.2456	13122.0355
8.710417	0.625	-19.327778	F07	3.6181	738.9686	48.6836	0.8454	33.8725	13566.5323
8.835417	0.75	-19.202778	F07	2.8431	810.0979	49.2755	0.6091	37.6900	13273.0439
8.960417	0.875	-19.077778	F07	2.2546	831.8795	50.9479	0.3778	35.9237	12601.7682
9.085417	1	-18.952778	F07	1.9718	838.4670	50.5773	0.4802	34.5379	12418.0575
9.210417	1.125	-18.827778	F07	1.9056	883.8821	52.2006	0.9335	34.6215	12962.3646
9.335417	1.25	-18.702778	F07	1.8705	926.3287	52.9195	0.8773	33.5351	13625.0785
9.460417	1.375	-18.577778	F07	2.1342	907.4115	51.4406	0.4324	33.2568	13262.3976
9.585417	1.5	-18.452778	F07	2.3722	925.2541	51.2391	0.2048	33.8165	13567.9403
