CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.125000	-4.960417	-24.913194	0.5057	0.1499	5.5986	-0.9863	1.5872	9.2298
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.250000	-4.835417	-24.788194	0.3173	-0.0021	5.5912	-1.2292	1.4386	9.5654
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.375000	-4.710417	-24.663194	0.3300	0.0712	5.7900	-1.2755	1.4922	9.9393
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.500000	-4.585417	-24.538194	0.3424	0.1583	5.9805	-1.3237	1.5455	10.3233
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.625000	-4.460417	-24.413194	0.3546	0.2836	6.1660	-1.3711	1.6003	10.7080
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.750000	-4.335417	-24.288194	0.3672	0.3558	6.3527	-1.4182	1.6548	11.0857
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.875000	-4.210417	-24.163194	0.3793	0.3642	6.5533	-1.4662	1.7100	11.4517
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.000000	-4.085417	-24.038194	0.3913	0.3684	6.7610	-1.5140	1.7665	11.8171
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.125000	-3.960417	-23.913194	0.4033	0.3882	6.9748	-1.5617	1.8237	12.1881
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.250000	-3.835417	-23.788194	0.4152	0.4073	7.1872	-1.6080	1.8801	12.5663
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.375000	-3.710417	-23.663194	0.4273	0.4037	7.3852	-1.6540	1.9351	12.9475
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.500000	-3.585417	-23.538194	0.4395	0.4005	7.5679	-1.7013	1.9902	13.3307
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.625000	-3.460417	-23.413194	0.4516	0.4581	7.7512	-1.7476	2.0467	13.7143
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.750000	-3.335417	-23.288194	0.4637	0.5551	7.9486	-1.7931	2.1049	14.0946
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.875000	-3.210417	-23.163194	0.4757	0.6513	8.1583	-1.8397	2.1648	14.4727
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.000000	-3.085417	-23.038194	0.4875	0.7477	8.3695	-1.8875	2.2255	14.8501
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.125000	-2.960417	-22.913194	0.4993	0.8039	8.5762	-1.9353	2.2857	15.2261
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.250000	-2.835417	-22.788194	0.5111	0.8401	8.7776	-1.9827	2.3451	15.6015
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.375000	-2.710417	-22.663194	0.5228	0.9399	8.9716	-2.0292	2.4059	15.9779
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.500000	-2.585417	-22.538194	0.5345	1.0395	9.1581	-2.0751	2.4688	16.3565
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.625000	-2.460417	-22.413194	0.5464	1.0793	9.3406	-2.1201	2.5325	16.7373
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.750000	-2.335417	-22.288194	0.5586	1.1590	9.5290	-2.1636	2.5969	17.1165
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.875000	-2.210417	-22.163194	0.5707	1.2696	9.7271	-2.2077	2.6627	17.4901
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.000000	-2.085417	-22.038194	0.5826	1.3959	9.9258	-2.2542	2.7300	17.8589
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.125000	-1.960417	-21.913194	0.5944	1.5097	10.1208	-2.3017	2.7984	18.2274
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.250000	-1.835417	-21.788194	0.6061	1.6091	10.3121	-2.3474	2.8671	18.5990
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.375000	-1.710417	-21.663194	0.6178	1.6853	10.4982	-2.3915	2.9357	18.9716
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.500000	-1.585417	-21.538194	0.6296	1.7312	10.6757	-2.4373	3.0053	19.3422
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.625000	-1.460417	-21.413194	0.6415	1.7651	10.8462	-2.4844	3.0764	19.7114
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.750000	-1.335417	-21.288194	0.6535	1.8055	11.0220	-2.5305	3.1479	20.0798
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.875000	-1.210417	-21.163194	0.6656	1.8689	11.2087	-2.5758	3.2205	20.4462
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.000000	-1.085417	-21.038194	0.6777	1.9291	11.3982	-2.6211	3.2948	20.8120
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.125000	-0.960417	-20.913194	0.6896	1.9629	11.5855	-2.6655	3.3704	21.1799
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.250000	-0.835417	-20.788194	0.7008	1.9735	11.7689	-2.7099	3.4456	21.5491
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.375000	-0.710417	-20.663194	0.7115	1.9774	11.9462	-2.7548	3.5207	21.9189
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.500000	-0.585417	-20.538194	0.7221	1.9595	12.1155	-2.8006	3.5976	22.2883
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.625000	-0.460417	-20.413194	0.7337	1.9667	12.2794	-2.8472	3.6749	22.6556
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.750000	-0.335417	-20.288194	0.7462	2.0236	12.4447	-2.8933	3.7540	23.0209
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.875000	-0.210417	-20.163194	0.7585	2.0578	12.6169	-2.9391	3.8361	23.3864
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.000000	-0.085417	-20.038194	0.7789	2.0291	12.8862	-2.9754	3.9197	23.7656
