CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.038194	-5.047222	-25.000000	2.5890	2.2333	7.6819	1.0970	3.6706	9.2558
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.163194	-4.922222	-24.875000	0.3086	-0.0378	5.4479	-1.1973	1.4004	9.3138
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.288194	-4.797222	-24.750000	0.3212	0.0192	5.6523	-1.2433	1.4550	9.6790
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.413194	-4.672222	-24.625000	0.3338	0.0972	5.8486	-1.2901	1.5085	10.0562
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.538194	-4.547222	-24.500000	0.3461	0.1947	6.0374	-1.3382	1.5622	10.4409
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.663194	-4.422222	-24.375000	0.3585	0.3084	6.2230	-1.3855	1.6170	10.8237
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.788194	-4.297222	-24.250000	0.3709	0.3613	6.4133	-1.4328	1.6716	11.1981
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.913194	-4.172222	-24.125000	0.3830	0.3655	6.6149	-1.4809	1.7269	11.5633
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.038194	-4.047222	-24.000000	0.3950	0.3697	6.8255	-1.5286	1.7839	11.9287
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.163194	-3.922222	-23.875000	0.4069	0.3966	7.0406	-1.5763	1.8412	12.3023
