CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.085417	-5.000000	-24.952778	1.4557	1.0999	6.5486	-0.0363	2.5372	9.2416
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.210417	-4.875000	-24.827778	0.3133	-0.0184	5.5259	-1.2146	1.4212	9.4507
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.335417	-4.750000	-24.702778	0.3260	0.0475	5.7272	-1.2608	1.4752	9.8206
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.460417	-4.625000	-24.577778	0.3385	0.1304	5.9203	-1.3084	1.5286	10.2015
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.585417	-4.500000	-24.452778	0.3508	0.2431	6.1074	-1.3561	1.5829	10.5862
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.710417	-4.375000	-24.327778	0.3632	0.3342	6.2936	-1.4033	1.6376	10.9662
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.835417	-4.250000	-24.202778	0.3755	0.3629	6.4895	-1.4510	1.6925	11.3361
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	3.960417	-4.125000	-24.077778	0.3875	0.3671	6.6943	-1.4989	1.7484	11.7014
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.085417	-4.000000	-23.952778	0.3995	0.3794	6.9067	-1.5466	1.8056	12.0697
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.210417	-3.875000	-23.827778	0.4114	0.4026	7.1204	-1.5936	1.8624	12.4459
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.335417	-3.750000	-23.702778	0.4234	0.4077	7.3245	-1.6394	1.9178	12.8267
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.460417	-3.625000	-23.577778	0.4356	0.4000	7.5115	-1.6862	1.9727	13.2092
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.585417	-3.500000	-23.452778	0.4478	0.4310	7.6924	-1.7332	2.0286	13.5929
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.710417	-3.375000	-23.327778	0.4599	0.5226	7.8843	-1.7787	2.0863	13.9747
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.835417	-3.250000	-23.202778	0.4719	0.6218	8.0909	-1.8248	2.1457	14.3531
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	4.960417	-3.125000	-23.077778	0.4838	0.7166	8.3029	-1.8723	2.2062	14.7307
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.085417	-3.000000	-22.952778	0.4955	0.7927	8.5113	-1.9202	2.2667	15.1073
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.210417	-2.875000	-22.827778	0.5074	0.8285	8.7143	-1.9677	2.3264	15.4826
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	5.335417	-2.750000	-22.702778	0.5191	0.8983	8.9111	-2.0146	2.3864	15.8586
