days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	-2.3004	2.1017	-0.9863	-1.4753	-2.0088	-3.7743	-0.1388	-2.0607	-3.2973	-1.5708	-1.7683	-0.1557	20.8448	-0.5594	-2.4181	-0.7266	19.5597	-0.9338	1.77	0.79	-2.1017	1.30	0.53	6.0908	10.97	4.48
3.25	-4.835417	-24.788194	NA	-3.5833	-0.8983	-1.2292	-3.3269	-3.4799	-4.415	-3.1388	-4.209	-3.7253	-3.3261	-3.3325	-1.0854	17.8448	-2.8852	-3.1145	-3.1506	16.5597	-2.5035	1.32	0.59	-3.6911	0.52	0.21	4.0281	10.24	4.18
3.375	-4.710417	-24.663194	NA	-3.7216	-2.9345	-1.2755	-3.4553	-3.6125	-4.5829	-4.3402	-4.3699	-3.8678	-3.4541	-3.4614	-1.1272	14.8448	-2.9957	-3.2361	-3.2702	13.5597	-2.9999	1.01	0.45	-4.0127	0.49	0.20	2.9625	8.75	3.57
3.5	-4.585417	-24.538194	NA	-3.861	-3.043	-1.3237	-3.5829	-3.7438	-4.7513	-4.5014	-4.5313	-4.0113	-3.5829	-3.5917	-1.1694	11.8448	-3.107	-3.3576	-3.3896	10.5597	-3.1109	1.05	0.47	-4.1616	0.51	0.21	1.8968	7.27	2.97
3.625	-4.460417	-24.413194	NA	-4.0005	-3.1519	-1.3711	-3.7106	-3.8757	-4.9211	-4.6635	-4.6949	-4.1534	-3.712	-3.7231	-1.2129	8.8448	-3.2186	-3.4793	-3.5109	7.5597	-3.2220	1.08	0.48	-4.3113	0.52	0.21	0.8305	5.79	2.36
3.75	-4.335417	-24.288194	NA	-4.1395	-3.2605	-1.4182	-3.8387	-4.0089	-5.0904	-4.8256	-4.8588	-4.2953	-3.8406	-3.8537	-1.2559	5.8448	-3.3299	-3.6006	-3.6326	4.5597	-3.3332	1.12	0.50	-4.4607	0.54	0.22	-0.2357	4.32	1.76
3.875	-4.210417	-24.163194	NA	-4.2782	-3.3693	-1.4662	-3.9667	-4.1417	-5.2577	-4.9868	-5.0209	-4.4392	-3.9689	-3.9825	-1.2983	2.8448	-3.4406	-3.7207	-3.7543	1.5597	-3.4444	1.16	0.52	-4.6093	0.56	0.23	-1.3016	2.89	1.18
4	-4.085417	-24.038194	NA	-4.4167	-3.479	-1.514	-4.0942	-4.2744	-5.4251	-5.1471	-5.182	-4.5838	-4.0965	-4.1107	-1.3407	-0.1552	-3.5524	-3.841	-3.8762	-1.4403	-3.5557	1.20	0.53	-4.7575	0.58	0.24	-2.3676	1.59	0.65
4.125	-3.960417	-23.913194	NA	-4.5549	-3.5881	-1.5617	-4.2205	-4.4074	-5.5929	-5.3072	-5.3437	-4.7279	-4.2231	-4.2389	-1.3834	-3.1552	-3.6638	-3.9621	-3.9981	-4.4403	-3.6665	1.23	0.55	-4.9056	0.59	0.24	-3.4338	1.09	0.45
4.25	-3.835417	-23.788194	NA	-4.6925	-3.6951	-1.608	-4.3469	-4.54	-5.7605	-5.468	-5.5051	-4.8713	-4.3507	-4.3665	-1.4265	-3.7477	-3.7729	-4.0818	-4.1201	-4.9649	-3.7765	1.27	0.57	-5.0537	0.61	0.25	-3.6856	1.19	0.49
4.375	-3.710417	-23.663194	NA	-4.8288	-3.8024	-1.654	-4.4737	-4.672	-5.9282	-5.6283	-5.6667	-5.0141	-4.4794	-4.4946	-1.4691	-3.8595	-3.8825	-4.2001	-4.2427	-5.1082	-3.8862	1.31	0.58	-5.2019	0.63	0.26	-3.7937	1.23	0.50
4.5	-3.585417	-23.538194	NA	-4.9644	-3.9112	-1.7013	-4.6002	-4.8043	-6.0967	-5.7884	-5.8286	-5.1567	-4.6087	-4.623	-1.5117	-3.9711	-3.9932	-4.3189	-4.3652	-5.2511	-3.9963	1.34	0.60	-5.3503	0.65	0.26	-3.9019	1.26	0.51
4.625	-3.460417	-23.413194	NA	-5.1001	-4.0196	-1.7476	-4.7254	-4.9366	-6.2646	-5.9484	-5.9902	-5.2992	-4.738	-4.7515	-1.5538	-4.0821	-4.1041	-4.4386	-4.4874	-5.3946	-4.1059	1.38	0.62	-5.4986	0.66	0.27	-4.0101	1.29	0.53
