days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	7.5536	12.2083	5.5986	8.5251	7.956	9.7205	12.7054	9.8403	9.8139	12.0306	10.2217	4.575	30.7473	10.3564	9.161	10.854	47.191	8.3683	2.41	1.08	10.7221	1.30	0.53	18.8141	16.60	6.78
3.25	-4.835417	-24.788194	NA	6.5016	9.2083	5.5912	6.8294	6.6927	9.5181	9.7054	7.8313	9.8457	10.5057	8.8923	3.7751	27.7473	8.129	8.8285	8.5187	44.191	6.9646	1.34	0.60	9.3831	0.92	0.38	16.8649	15.79	6.45
3.375	-4.710417	-24.663194	NA	6.7391	7.296	5.79	7.0866	6.9448	9.8585	8.81	8.1325	10.2014	10.9084	9.232	3.9144	24.7473	8.4378	9.1468	8.8406	41.191	6.7713	0.58	0.26	9.5238	1.00	0.41	16.0463	14.23	5.81
3.5	-4.585417	-24.538194	NA	6.9611	7.5563	5.9805	7.3354	7.1882	10.1836	9.13	8.4269	10.549	11.3076	9.5672	4.0488	21.7473	8.7375	9.4535	9.1558	38.191	7.0043	0.61	0.27	9.8607	1.03	0.42	15.2223	12.71	5.19
3.625	-4.460417	-24.413194	NA	7.1696	7.8087	6.166	7.5763	7.4231	10.5003	9.4452	8.7149	10.8902	11.7015	9.8978	4.1796	18.7473	9.0293	9.7528	9.4681	35.191	7.2287	0.64	0.29	10.1916	1.07	0.44	14.3947	11.23	4.58
3.75	-4.335417	-24.288194	NA	7.3695	8.0539	6.3527	7.811	7.6516	10.814	9.7566	8.9979	11.2281	12.0901	10.2262	4.3125	15.7473	9.3153	10.0492	9.7782	32.191	7.4477	0.66	0.30	10.5188	1.10	0.45	13.5656	9.82	4.01
3.875	-4.210417	-24.163194	NA	7.5795	8.301	6.5533	8.048	7.8843	11.1437	10.0715	9.2801	11.5856	12.4778	10.558	4.4468	12.7473	9.601	10.3607	10.0909	29.191	7.6732	0.68	0.30	10.8528	1.13	0.46	12.7396	8.51	3.47
4	-4.085417	-24.038194	NA	7.8046	8.5576	6.761	8.2938	8.1257	11.4874	10.3921	9.5691	11.9554	12.8688	10.8952	4.5859	9.7473	9.8932	10.6835	10.4139	26.191	7.9085	0.70	0.31	11.1947	1.17	0.48	11.9191	7.35	3.00
4.125	-3.960417	-23.913194	NA	8.0458	8.8245	6.9748	8.5498	8.3757	11.8433	10.7204	9.867	12.3339	13.2646	11.2378	4.733	6.7473	10.1959	11.0132	10.7461	23.191	8.1541	0.72	0.32	11.5445	1.20	0.49	11.1044	6.43	2.62
4.25	-3.835417	-23.788194	NA	8.2925	9.0923	7.1872	8.8085	8.6275	12.1998	11.0541	10.1699	12.7125	13.6619	11.5815	4.8816	6.4068	10.5036	11.3412	11.079	23.216	8.4016	0.74	0.33	11.8966	1.24	0.51	11.2380	6.45	2.63
