days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	2.4691	6.4934	1.5872	3.1457	2.6849	1.8786	5.3733	3.5007	1.6558	3.0127	2.7935	2.1745	26.4406	3.8159	1.9468	3.8525	26.4052	3.2761	1.89	0.84	3.0358	1.34	0.55	10.7726	12.15	4.96
3.25	-4.835417	-24.788194	NA	1.2983	3.4934	1.4386	1.3663	1.3117	1.424	2.3733	1.417	1.4035	1.3341	1.3189	1.3093	23.4406	1.5292	1.3896	1.4635	23.4052	1.7817	0.96	0.43	1.5451	0.41	0.17	8.7562	11.36	4.64
3.375	-4.710417	-24.663194	NA	1.3473	1.512	1.4922	1.4175	1.3621	1.4764	1.304	1.4714	1.4558	1.3823	1.3687	1.3581	20.4406	1.5857	1.4431	1.519	20.4052	1.4262	0.07	0.03	1.4098	0.07	0.03	7.7919	9.78	3.99
3.5	-4.585417	-24.538194	NA	1.3969	1.5679	1.5455	1.4688	1.4127	1.5284	1.3524	1.526	1.5084	1.4297	1.4178	1.4068	17.4406	1.6405	1.4964	1.5758	17.4052	1.4784	0.08	0.03	1.4605	0.07	0.03	6.8276	8.21	3.35
3.625	-4.460417	-24.413194	NA	1.4464	1.6239	1.6003	1.5201	1.4626	1.5803	1.4004	1.581	1.5627	1.4781	1.4667	1.4553	14.4406	1.6959	1.5491	1.6342	14.4052	1.5307	0.08	0.04	1.5115	0.07	0.03	5.8634	6.63	2.71
3.75	-4.335417	-24.288194	NA	1.4954	1.6798	1.6548	1.5716	1.5116	1.6321	1.449	1.6357	1.6174	1.5276	1.5152	1.5058	11.4406	1.7512	1.6019	1.6919	11.4052	1.5826	0.08	0.04	1.5628	0.08	0.03	4.8994	5.05	2.06
3.875	-4.210417	-24.163194	NA	1.5463	1.7375	1.71	1.6256	1.5631	1.6877	1.5006	1.6922	1.6745	1.5803	1.5661	1.5574	8.4406	1.8081	1.6577	1.7498	8.4052	1.6365	0.09	0.04	1.6169	0.08	0.03	3.9365	3.48	1.42
4	-4.085417	-24.038194	NA	1.5999	1.7973	1.7665	1.6822	1.6177	1.7447	1.5537	1.7518	1.7318	1.6363	1.6198	1.6097	5.4406	1.868	1.7151	1.8103	5.4052	1.6927	0.09	0.04	1.6730	0.08	0.03	2.9748	1.90	0.77
4.125	-3.960417	-23.913194	NA	1.6556	1.8591	1.8237	1.7401	1.6736	1.8009	1.6068	1.8125	1.7882	1.6929	1.6744	1.6626	2.4406	1.9302	1.7723	1.873	2.4052	1.7504	0.09	0.04	1.7293	0.08	0.03	2.0140	0.33	0.13
4.25	-3.835417	-23.788194	NA	1.7093	1.9195	1.8801	1.7973	1.7266	1.8555	1.6581	1.8731	1.844	1.7466	1.728	1.7146	1.9883	1.9909	1.8282	1.9358	2.0576	1.8066	0.09	0.04	1.7842	0.09	0.04	1.9192	0.13	0.05
