days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	1.4698	5.3958	0.5057	2.0054	1.8907	2.3047	4.7055	5.0028	0.9429	3.2125	3.5055	1.0523	26.0581	2.7858	1.0562	2.556	24.7321	2.2535	1.85	0.83	3.2790	1.51	0.62	9.7067	12.18	4.97
3.25	-4.835417	-24.788194	NA	0.2764	2.3958	0.3173	0.2088	0.501	1.8632	1.7055	2.9368	0.6656	1.5386	2.0446	0.1565	23.0581	0.4903	0.4705	0.1572	21.7321	0.7399	0.93	0.42	1.7924	0.74	0.30	7.6774	11.41	4.66
3.375	-4.710417	-24.663194	NA	0.287	0.4008	0.33	0.2174	0.5206	1.9335	0.6201	3.05	0.6913	1.5985	2.1231	0.1627	20.0581	0.5099	0.4877	0.1635	18.7321	0.3512	0.12	0.05	1.6694	0.92	0.38	6.6857	9.85	4.02
3.5	-4.585417	-24.538194	NA	0.2973	0.4157	0.3424	0.2263	0.5399	2.0041	0.6436	3.1622	0.7177	1.6584	2.2021	0.1688	17.0581	0.53	0.5042	0.1703	15.7321	0.3643	0.12	0.05	1.7313	0.95	0.39	5.6939	8.30	3.39
3.625	-4.460417	-24.413194	NA	0.3082	0.4307	0.3546	0.2364	0.5593	2.0756	0.6672	3.2741	0.7441	1.7208	2.2812	0.1749	14.0581	0.5501	0.5208	0.1771	12.7321	0.3778	0.12	0.06	1.7938	0.99	0.40	4.7022	6.75	2.76
3.75	-4.335417	-24.288194	NA	0.3193	0.4457	0.3672	0.2481	0.5791	2.1471	0.6905	3.3869	0.7711	1.7867	2.36	0.1809	11.0581	0.5704	0.538	0.184	9.7321	0.3919	0.13	0.06	1.8570	1.02	0.42	3.7106	5.20	2.12
3.875	-4.210417	-24.163194	NA	0.3303	0.4609	0.3793	0.2605	0.5985	2.2177	0.7131	3.4972	0.7991	1.8521	2.4368	0.1867	8.0581	0.5905	0.5551	0.1914	6.7321	0.4059	0.13	0.06	1.9193	1.05	0.43	2.7190	3.65	1.49
4	-4.085417	-24.038194	NA	0.3412	0.4762	0.3913	0.2728	0.6174	2.288	0.7351	3.6042	0.8295	1.9144	2.5119	0.1927	5.0581	0.6099	0.5718	0.1992	3.7321	0.4198	0.13	0.06	1.9805	1.09	0.44	1.7273	2.12	0.86
4.125	-3.960417	-23.913194	NA	0.3516	0.4919	0.4033	0.2845	0.636	2.3582	0.757	3.7098	0.8617	1.9749	2.5857	0.1988	2.0581	0.6289	0.5882	0.2079	0.7321	0.4335	0.14	0.06	2.0412	1.12	0.46	0.7357	0.69	0.28
4.25	-3.835417	-23.788194	NA	0.3616	0.508	0.4152	0.2953	0.6544	2.4288	0.7797	3.8144	0.8934	2.037	2.6588	0.2049	1.5964	0.6479	0.6047	0.2166	0.3398	0.4469	0.14	0.06	2.1020	1.15	0.47	0.6017	0.52	0.21
4.375	-3.710417	-23.663194	NA	0.3715	0.5243	0.4273	0.305	0.6726	2.4997	0.8041	3.9201	0.9257	2.0986	2.7328	0.211	1.6422	0.6673	0.6213	0.2262	0.3482	0.4601	0.14	0.06	2.1635	1.18	0.48	0.6194	0.54	0.22
4.5	-3.585417	-23.538194	NA	0.3811	0.5409	0.4395	0.3138	0.6908	2.5715	0.8296	4.0258	0.9588	2.159	2.8085	0.2173	1.6876	0.6872	0.6377	0.2361	0.3557	0.4732	0.15	0.07	2.2255	1.20	0.49	0.6369	0.55	0.23
4.625	-3.460417	-23.413194	NA	0.3902	0.5573	0.4516	0.3217	0.7088	2.644	0.8552	4.1298	0.9927	2.2208	2.8842	0.2236	1.7324	0.7069	0.6539	0.2453	0.3623	0.4859	0.15	0.07	2.2878	1.23	0.50	0.6541	0.57	0.23
4.75	-3.335417	-23.288194	NA	0.3991	0.5737	0.4637	0.329	0.7272	2.7162	0.8807	4.2332	1.0279	2.2826	2.9584	0.2298	1.7762	0.7258	0.6701	0.2542	0.3704	0.4985	0.16	0.07	2.3498	1.26	0.52	0.6711	0.58	0.24
4.875	-3.210417	-23.163194	NA	0.408	0.5901	0.4757	0.3359	0.7455	2.7878	0.9056	4.3357	1.064	2.3425	3.0305	0.2359	1.8191	0.7438	0.6864	0.2634	0.3785	0.5110	0.16	0.07	2.4110	1.29	0.53	0.6878	0.59	0.24
5	-3.085417	-23.038194	NA	0.4169	0.6068	0.4875	0.3431	0.7637	2.8587	0.9303	4.437	1.1003	2.4018	3.1002	0.2418	1.8611	0.7613	0.7024	0.2728	0.3845	0.5236	0.17	0.07	2.4714	1.32	0.54	0.7040	0.61	0.25
5.125	-2.960417	-22.913194	NA	0.4254	0.6238	0.4993	0.3505	0.7818	2.9291	0.9553	4.5376	1.1367	2.461	3.1683	0.248	1.9025	0.7783	0.7183	0.2822	0.3901	0.5362	0.17	0.08	2.5313	1.34	0.55	0.7199	0.62	0.25
5.25	-2.835417	-22.788194	NA	0.4334	0.6412	0.5111	0.3579	0.7998	2.9996	0.9815	4.6386	1.1741	2.5199	3.2363	0.2544	1.9434	0.7954	0.7341	0.2916	0.3957	0.5487	0.18	0.08	2.5917	1.37	0.56	0.7358	0.63	0.26
5.375	-2.710417	-22.663194	NA	0.4413	0.659	0.5228	0.3651	0.818	3.0707	1.0092	4.7399	1.2129	2.5796	3.305	0.2609	1.9839	0.8127	0.75	0.3015	0.4012	0.5612	0.18	0.08	2.6529	1.40	0.57	0.7517	0.65	0.26
5.5	-2.585417	-22.538194	NA	0.449	0.6769	0.5345	0.3723	0.8366	3.1421	1.0373	4.8408	1.2529	2.6416	3.3743	0.2673	2.024	0.8296	0.7662	0.3114	0.4064	0.5739	0.19	0.08	2.7148	1.42	0.58	0.7675	0.66	0.27
5.625	-2.460417	-22.413194	NA	0.4565	0.695	0.5464	0.3798	0.8549	3.2133	1.0657	4.942	1.2941	2.7061	3.4443	0.2739	2.0631	0.8465	0.7828	0.3216	0.4118	0.5865	0.19	0.09	2.7776	1.45	0.59	0.7833	0.67	0.27
5.75	-2.335417	-22.288194	NA	0.4641	0.7134	0.5586	0.3893	0.873	3.2848	1.0944	5.0431	1.3368	2.7717	3.5145	0.2803	2.1014	0.863	0.7997	0.3323	0.417	0.5997	0.19	0.09	2.8409	1.47	0.60	0.7989	0.68	0.28
5.875	-2.210417	-22.163194	NA	0.4712	0.7319	0.5707	0.4007	0.8908	3.3556	1.1227	5.143	1.3802	2.8358	3.5844	0.2868	2.139	0.879	0.8165	0.3435	0.4221	0.6131	0.20	0.09	2.9036	1.50	0.61	0.8145	0.69	0.28
6	-2.085417	-22.038194	NA	0.478	0.7504	0.5826	0.4125	0.9083	3.4255	1.1505	5.2411	1.4246	2.8971	3.6532	0.2934	2.1755	0.8945	0.8332	0.355	0.4269	0.6264	0.20	0.09	2.9653	1.52	0.62	0.8297	0.71	0.29
6.125	-1.960417	-21.913194	NA	0.4845	0.7692	0.5944	0.4242	0.9256	3.4952	1.1788	5.3387	1.4705	2.956	3.7216	0.2999	2.2118	0.9096	0.8498	0.3666	0.4311	0.6396	0.21	0.09	3.0268	1.54	0.63	0.8448	0.72	0.29
6.25	-1.835417	-21.788194	NA	0.4909	0.7884	0.6061	0.4355	0.9431	3.565	1.2081	5.4367	1.518	3.0143	3.7904	0.306	2.2477	0.925	0.8664	0.3785	0.4356	0.6528	0.21	0.09	3.0888	1.56	0.64	0.8599	0.73	0.30
6.375	-1.710417	-21.663194	NA	0.4971	0.8074	0.6178	0.4467	0.9607	3.6355	1.2387	5.5356	1.5672	3.0728	3.859	0.3119	2.2831	0.9403	0.883	0.3902	0.4401	0.6659	0.22	0.10	3.1515	1.59	0.65	0.8748	0.74	0.30
6.5	-1.585417	-21.538194	NA	0.5032	0.8267	0.6296	0.4578	0.9783	3.7081	1.2703	5.6348	1.6178	3.1321	3.9267	0.3179	2.3181	0.9559	0.8996	0.4018	0.4448	0.6791	0.22	0.10	3.2150	1.61	0.66	0.8897	0.75	0.31
6.625	-1.460417	-21.413194	NA	0.5094	0.846	0.6415	0.4688	0.9957	3.7818	1.3026	5.734	1.6694	3.1932	3.9946	0.3242	2.3529	0.972	0.9161	0.4134	0.4496	0.6923	0.22	0.10	3.2793	1.63	0.67	0.9047	0.76	0.31
6.75	-1.335417	-21.288194	NA	0.5159	0.8664	0.6535	0.48	1.0133	3.8552	1.3351	5.8335	1.7213	3.2569	4.0629	0.3308	2.3866	0.9879	0.9327	0.4246	0.4542	0.7058	0.23	0.10	3.3441	1.65	0.67	0.9195	0.77	0.31
6.875	-1.210417	-21.163194	NA	0.5223	0.8864	0.6656	0.4908	1.0312	3.9279	1.3674	5.9327	1.7734	3.3201	4.1293	0.3375	2.4199	1.0039	0.949	0.4353	0.4589	0.7193	0.23	0.10	3.4085	1.67	0.68	0.9341	0.78	0.32
7	-1.085417	-21.038194	NA	0.5284	0.9047	0.6777	0.5016	1.0489	4.0006	1.3995	6.0315	1.8257	3.3811	4.193	0.344	2.4535	1.0197	0.9652	0.4458	0.4638	0.7323	0.24	0.11	3.4719	1.69	0.69	0.9487	0.79	0.32
7.125	-0.960417	-20.913194	NA	0.5343	0.9231	0.6896	0.5117	1.0666	4.0735	1.4321	6.1294	1.8779	3.4409	4.2554	0.3506	2.4865	1.0352	0.9813	0.4562	0.4688	0.7451	0.24	0.11	3.5349	1.72	0.70	0.9631	0.80	0.33
7.25	-0.835417	-20.788194	NA	0.5401	0.9417	0.7008	0.5217	1.0843	4.1469	1.4659	6.2276	1.9302	3.5002	4.3168	0.3572	2.5186	1.0504	0.9971	0.4668	0.4739	0.7577	0.25	0.11	3.5979	1.74	0.71	0.9773	0.81	0.33
7.375	-0.710417	-20.663194	NA	0.5462	0.9607	0.7115	0.5317	1.102	4.2216	1.5016	6.327	1.9829	3.5593	4.3781	0.3635	2.5506	1.0661	1.012	0.4776	0.479	0.7704	0.25	0.11	3.6618	1.76	0.72	0.9915	0.82	0.33
7.5	-0.585417	-20.538194	NA	0.5526	0.9798	0.7221	0.5421	1.1202	4.2982	1.539	6.4273	2.0364	3.6182	4.4399	0.3699	2.5824	1.0824	1.0268	0.4884	0.4844	0.7834	0.26	0.12	3.7265	1.78	0.73	1.0057	0.83	0.34
7.625	-0.460417	-20.413194	NA	0.5593	0.999	0.7337	0.5529	1.1387	4.3773	1.5776	6.5279	2.0919	3.6779	4.5005	0.3768	2.6139	1.0979	1.0425	0.4996	0.4901	0.7967	0.26	0.12	3.7922	1.80	0.73	1.0201	0.84	0.34
7.75	-0.335417	-20.288194	NA	0.5661	1.0167	0.7462	0.563	1.1569	4.4592	1.617	6.6269	2.1484	3.7369	4.56	0.3842	2.6439	1.1133	1.0591	0.51	0.4945	0.8098	0.27	0.12	3.8581	1.82	0.74	1.0342	0.85	0.35
7.875	-0.210417	-20.163194	NA	0.5725	1.0341	0.7585	0.5732	1.175	4.5425	1.6634	6.7247	2.204	3.7954	4.6193	0.3915	2.6728	1.1282	1.0759	0.52	0.4985	0.8227	0.27	0.12	3.9249	1.83	0.75	1.0478	0.86	0.35
8	-0.085417	-20.038194	NA	0.5781	1.0528	0.7789	0.5841	1.1928	4.6214	1.7279	6.8222	2.2574	3.854	4.6785	0.4019	2.7022	1.1432	1.093	0.5304	0.5034	0.8373	0.28	0.12	3.9936	1.85	0.75	1.0623	0.86	0.35
8.085417	0	-19.952778	NA	0.582	1.0655	0.8022	0.5916	1.205	4.6695	1.7725	6.8888	2.2927	3.8941	4.719	0.4148	2.7225	1.1536	1.105	0.5375	0.5069	0.8493	0.28	0.13	4.0394	1.85	0.76	1.0734	0.87	0.35
8.210417	0.125	-19.827778	NA	0.5897	1.0818	0.8442	0.6026	1.2158	4.7432	1.8824	7.011	2.3447	3.9861	4.7833	0.443	2.7824	1.1654	1.1252	0.5444	0.5135	0.8668	0.28	0.13	4.1251	1.86	0.76	1.0957	0.89	0.36
8.335417	0.25	-19.702778	NA	0.5994	1.1029	0.8872	0.614	1.2234	4.828	2.0102	7.1437	2.3979	4.1066	4.8664	0.4733	2.8472	1.1764	1.1467	0.5506	0.5211	0.8854	0.28	0.13	4.2255	1.87	0.76	1.1192	0.90	0.37
8.460417	0.375	-19.577778	NA	0.6114	1.1383	0.9356	0.6266	1.2296	4.9226	2.1451	7.2953	2.4543	4.2757	4.9941	0.509	2.9407	1.1855	1.1685	0.5552	0.5332	0.9083	0.28	0.13	4.3479	1.89	0.77	1.1487	0.93	0.38
8.585417	0.5	-19.452778	NA	0.6239	1.1829	0.9868	0.6391	1.2371	5.0269	2.2795	7.4392	2.5149	4.4688	5.1598	0.547	3.0335	1.1955	1.1893	0.5609	0.5478	0.9340	0.29	0.13	4.4815	1.91	0.78	1.1790	0.96	0.39
8.710417	0.625	-19.327778	NA	0.6353	1.2197	1.0358	0.649	1.2449	5.1335	2.4004	7.5634	2.576	4.6612	5.3342	0.5822	3.1157	1.2053	1.2082	0.5661	0.5606	0.9569	0.30	0.13	4.6114	1.93	0.79	1.2064	0.99	0.40
8.835417	0.75	-19.202778	NA	0.6446	1.2471	1.0823	0.6571	1.252	5.2378	2.499	7.6716	2.6334	4.8385	5.4957	0.6135	3.1837	1.2138	1.2217	0.5702	0.5703	0.9766	0.31	0.14	4.7293	1.94	0.79	1.2289	1.01	0.41
8.960417	0.875	-19.077778	NA	0.6518	1.2704	1.1265	0.6641	1.2582	5.3337	2.5782	7.773	2.685	5.0012	5.6345	0.6408	3.2499	1.2224	1.2343	0.574	0.5795	0.9942	0.31	0.14	4.8343	1.96	0.80	1.2501	1.03	0.42
9.085417	1	-18.952778	NA	0.6579	1.2861	1.1697	0.6694	1.2634	5.4178	2.6446	7.8592	2.7323	5.1577	5.7617	0.6642	3.3056	1.231	1.247	0.5773	0.5859	1.0093	0.32	0.14	4.9289	1.98	0.81	1.2685	1.05	0.43
9.210417	1.125	-18.827778	NA	0.6635	1.3003	1.2124	0.6742	1.2677	5.4925	2.7033	7.9397	2.7759	5.3121	5.8791	0.6846	3.359	1.2395	1.2596	0.5805	0.5922	1.0236	0.33	0.15	5.0171	2.00	0.82	1.2859	1.06	0.43
9.335417	1.25	-18.702778	NA	0.6685	1.3145	1.2554	0.6787	1.2718	5.5616	2.7595	8.0159	2.8174	5.4645	5.9849	0.7025	3.4129	1.2481	1.2723	0.5832	0.5994	1.0378	0.33	0.15	5.1006	2.02	0.82	1.3031	1.08	0.44
9.460417	1.375	-18.577778	NA	0.6731	1.3295	1.3001	0.6835	1.2761	5.6278	2.8157	8.0891	2.8577	5.6144	6.0864	0.7197	3.4663	1.2567	1.2849	0.586	0.6079	1.0525	0.34	0.15	5.1818	2.03	0.83	1.3202	1.10	0.45
9.585417	1.5	-18.452778	NA	0.6778	1.3449	1.346	0.6889	1.2804	5.6916	2.87	8.1595	2.8968	5.7623	6.1853	0.7355	3.5154	1.2652	1.2975	0.5891	0.6171	1.0676	0.35	0.16	5.2609	2.05	0.84	1.3366	1.11	0.45
9.710417	1.625	-18.327778	NA	0.6824	1.3599	1.3912	0.6943	1.2843	5.7542	2.9203	8.2266	2.9344	5.9078	6.2808	0.7501	3.5583	1.2738	1.3102	0.5923	0.6256	1.0824	0.36	0.16	5.3373	2.07	0.84	1.3517	1.13	0.46
9.835417	1.75	-18.202778	NA	0.6866	1.3732	1.4362	0.6988	1.2878	5.8146	2.9652	8.2878	2.9698	6.0468	6.3711	0.7633	3.5944	1.2824	1.3228	0.5946	0.6322	1.0965	0.37	0.17	5.4092	2.08	0.85	1.3649	1.14	0.46
9.960417	1.875	-18.077778	NA	0.6902	1.3849	1.4793	0.7023	1.2911	5.8714	3.0046	8.3427	3.0032	6.1773	6.4548	0.7752	3.626	1.2909	1.3354	0.5966	0.6369	1.1096	0.38	0.17	5.4757	2.10	0.86	1.3768	1.15	0.47
10.085417	2	-17.952778	NA	0.6932	1.3955	1.5206	0.705	1.2944	5.9253	3.0417	8.3943	3.0351	6.3008	6.5333	0.788	3.6561	1.2995	1.3481	0.5989	0.6412	1.1217	0.39	0.18	5.5384	2.12	0.86	1.3886	1.16	0.47
10.210417	2.125	-17.827778	NA	0.6961	1.4065	1.562	0.7073	1.2977	5.9776	3.0808	8.4452	3.0657	6.4195	6.6102	0.8019	3.6868	1.3079	1.3607	0.6011	0.6457	1.1339	0.41	0.18	5.5998	2.13	0.87	1.4007	1.17	0.48
10.335417	2.25	-17.702778	NA	0.6988	1.4197	1.604	0.7098	1.3011	6.0303	3.1237	8.4972	3.0963	6.5358	6.6895	0.8145	3.7183	1.316	1.3688	0.6032	0.6512	1.1467	0.42	0.19	5.6621	2.15	0.88	1.4120	1.18	0.48
10.460417	2.375	-17.577778	NA	0.7018	1.4356	1.647	0.7125	1.3046	6.0848	3.1673	8.5492	3.1268	6.6533	6.7725	0.8264	3.7484	1.324	1.376	0.6058	0.6583	1.1603	0.43	0.19	5.7256	2.16	0.88	1.4232	1.19	0.48
10.585417	2.5	-17.452778	NA	0.7053	1.4524	1.6901	0.7152	1.3083	6.1392	3.2076	8.5995	3.1578	6.7735	6.8572	0.8376	3.7748	1.332	1.3828	0.6091	0.6658	1.1743	0.44	0.20	5.7891	2.18	0.89	1.4337	1.19	0.49
10.710417	2.625	-17.327778	NA	0.7088	1.4677	1.7301	0.7177	1.3118	6.192	3.2436	8.6478	3.1888	6.8941	6.9398	0.8477	3.7972	1.3401	1.3893	0.6123	0.6723	1.1872	0.46	0.20	5.8510	2.20	0.90	1.4431	1.20	0.49
10.835417	2.75	-17.202778	NA	0.712	1.481	1.77	0.72	1.315	6.2438	3.2762	8.6908	3.2192	7.0106	7.0171	0.8567	3.8163	1.3469	1.3957	0.6151	0.6776	1.1996	0.47	0.21	5.9096	2.21	0.90	1.4514	1.20	0.49
10.960417	2.875	-17.077778	NA	0.7154	1.4924	1.8068	0.722	1.318	6.2944	3.3067	8.7307	3.2487	7.1214	7.0887	0.8647	3.8336	1.3529	1.4017	0.6175	0.6816	1.2109	0.48	0.22	5.9651	2.23	0.91	1.4587	1.21	0.49
11.085417	3	-16.952778	NA	0.7185	1.5028	1.8431	0.724	1.3209	6.3427	3.3379	8.7698	3.2777	7.2294	7.1561	0.8725	3.8512	1.359	1.4072	0.6197	0.6857	1.2219	0.49	0.22	6.0189	2.24	0.92	1.4659	1.22	0.50
11.210417	3.125	-16.827778	NA	0.7212	1.514	1.8806	0.7262	1.3241	6.3893	3.3727	8.8101	3.3064	7.3354	7.2233	0.8804	3.8703	1.3652	1.4126	0.6216	0.6897	1.2332	0.51	0.23	6.0729	2.26	0.92	1.4733	1.22	0.50
11.335417	3.25	-16.702778	NA	0.7238	1.5268	1.9201	0.7289	1.3277	6.4365	3.411	8.8539	3.3352	7.4413	7.2949	0.8883	3.8923	1.3719	1.4181	0.6233	0.6943	1.2455	0.52	0.23	6.1288	2.27	0.93	1.4814	1.23	0.50
11.460417	3.375	-16.577778	NA	0.7267	1.5414	1.9592	0.7318	1.3313	6.4862	3.4497	8.8988	3.3642	7.5485	7.3723	0.8963	3.915	1.3791	1.4235	0.6253	0.6999	1.2581	0.53	0.24	6.1866	2.29	0.93	1.4898	1.23	0.50
11.585417	3.5	-16.452778	NA	0.7296	1.5568	1.997	0.7346	1.3347	6.5372	3.4847	8.9424	3.3929	7.6578	7.4529	0.9049	3.9363	1.3862	1.4285	0.628	0.7057	1.2705	0.55	0.24	6.2447	2.31	0.94	1.4983	1.24	0.51
11.710417	3.625	-16.327778	NA	0.7324	1.5713	2.0329	0.7372	1.338	6.5879	3.5164	8.9833	3.4214	7.7655	7.5329	0.9138	3.956	1.3927	1.4337	0.6309	0.7107	1.2824	0.56	0.25	6.3012	2.32	0.95	1.5063	1.25	0.51
11.835417	3.75	-16.202778	NA	0.735	1.5838	2.0654	0.7393	1.3407	6.6387	3.546	9.0204	3.4497	7.8663	7.6087	0.922	3.9725	1.3986	1.4387	0.6331	0.7148	1.2928	0.57	0.26	6.3550	2.34	0.96	1.5133	1.25	0.51
11.960417	3.875	-16.077778	NA	0.7372	1.5949	2.0945	0.7411	1.343	6.6895	3.5743	9.0548	3.4776	7.9609	7.6794	0.9288	3.9861	1.4041	1.4433	0.6349	0.7183	1.3021	0.58	0.26	6.4061	2.35	0.96	1.5192	1.26	0.51
12.085417	4	-15.952778	NA	0.7393	1.605	2.1223	0.743	1.3462	6.739	3.6028	9.0884	3.5053	8.0495	7.7463	0.9352	3.9998	1.4096	1.4476	0.6368	0.7216	1.3112	0.59	0.26	6.4552	2.37	0.97	1.5251	1.26	0.51
12.210417	4.125	-15.827778	NA	0.7412	1.6152	2.1507	0.7451	1.3501	6.7874	3.6327	9.1228	3.5326	8.135	7.8124	0.9419	4.0156	1.415	1.452	0.6388	0.7249	1.3205	0.60	0.27	6.5038	2.38	0.97	1.5314	1.26	0.52
12.335417	4.25	-15.702778	NA	0.743	1.6267	2.1794	0.7472	1.3541	6.8367	3.6648	9.1598	3.5595	8.2201	7.8815	0.9485	4.0336	1.4205	1.4563	0.641	0.7285	1.3301	0.61	0.27	6.5537	2.40	0.98	1.5381	1.27	0.52
12.460417	4.375	-15.577778	NA	0.745	1.6399	2.2093	0.7494	1.3582	6.8887	3.6974	9.1983	3.5863	8.3049	7.9563	0.9552	4.052	1.4258	1.4605	0.6435	0.7326	1.3404	0.62	0.28	6.6053	2.41	0.98	1.5449	1.27	0.52
12.585417	4.5	-15.452778	NA	0.7474	1.6535	2.239	0.7516	1.362	6.9421	3.7283	9.2367	3.613	8.3888	8.0358	0.9615	4.069	1.4311	1.4651	0.6462	0.7375	1.3507	0.63	0.28	6.6574	2.43	0.99	1.5517	1.28	0.52
12.710417	4.625	-15.327778	NA	0.7494	1.6661	2.2673	0.7535	1.3654	6.9948	3.7575	9.2731	3.6389	8.4709	8.1156	0.9673	4.084	1.4361	1.4696	0.6491	0.7425	1.3603	0.64	0.29	6.7085	2.44	1.00	1.5581	1.28	0.52
12.835417	4.75	-15.202778	NA	0.7512	1.6775	2.2938	0.755	1.3685	7.0479	3.7849	9.3067	3.6642	8.5504	8.1913	0.9734	4.097	1.441	1.4739	0.6519	0.7466	1.3692	0.65	0.29	6.7576	2.46	1.00	1.5640	1.29	0.53
12.960417	4.875	-15.077778	NA	0.7528	1.6874	2.3188	0.7564	1.3725	7.0995	3.8109	9.3382	3.6889	8.6273	8.2617	0.9791	4.1094	1.4461	1.4782	0.6544	0.75	1.3776	0.66	0.30	6.8044	2.47	1.01	1.5695	1.29	0.53
13.085417	5	-14.952778	NA	0.7543	1.696	2.3421	0.7577	1.3769	7.1474	3.8361	9.3679	3.7133	8.7019	8.3283	0.9843	4.1224	1.4513	1.4822	0.657	0.7528	1.3854	0.67	0.30	6.8491	2.49	1.02	1.5750	1.29	0.53
13.210417	5.125	-14.827778	NA	0.7558	1.7042	2.3642	0.7594	1.3808	7.1931	3.8626	9.3973	3.7377	8.7753	8.393	0.9898	4.1365	1.4563	1.4858	0.6598	0.7557	1.3929	0.68	0.30	6.8932	2.50	1.02	1.5806	1.30	0.53
13.335417	5.25	-14.702778	NA	0.7576	1.713	2.3858	0.7615	1.3844	7.2382	3.8908	9.4282	3.7613	8.8506	8.4585	0.9957	4.1514	1.4614	1.4894	0.6625	0.759	1.4005	0.69	0.31	6.9379	2.52	1.03	1.5866	1.30	0.53
13.460417	5.375	-14.577778	NA	0.7596	1.7231	2.4074	0.7634	1.3881	7.2851	3.9194	9.4604	3.7845	8.9295	8.5272	1.0019	4.1666	1.4665	1.4938	0.6651	0.7624	1.4083	0.70	0.31	6.9844	2.53	1.03	1.5927	1.31	0.53
13.585417	5.5	-14.452778	NA	0.7615	1.7343	2.4298	0.7655	1.3919	7.3344	3.948	9.4931	3.8076	9.0109	8.5994	1.0079	4.1816	1.4715	1.4983	0.6676	0.7663	1.4166	0.70	0.31	7.0322	2.55	1.04	1.5989	1.31	0.54
