days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	   NA	10.7203	11.8308	9.2298	10.5663	10.7765	9.6123	9.0308	10.9417	9.5773	12.8542	9.9413	8.6356	11.5989	13.8758	10.9554	10.1854	14.7792	10.6247	0.93	0.41	10.3263	1.39	0.57	11.6717	2.30	0.94
3.25	-4.835417	-24.788194	   NA	10.9680	11.7934	9.5654	10.7042	10.9904	9.9401	8.9934	11.0458	9.9040	12.9983	10.1157	8.8563	11.5615	13.9610	11.2800	10.2382	14.7418	10.8043	0.80	0.36	10.4995	1.39	0.57	11.7731	2.22	0.91
3.375	-4.710417	-24.663194	   NA	11.4002	11.9240	9.9393	11.1052	11.4313	10.2971	9.2009	11.4711	10.2309	13.3574	10.4791	9.1639	11.5240	14.4207	11.7006	10.6533	14.7043	11.1600	0.74	0.33	10.8394	1.43	0.58	12.0278	2.16	0.88
3.5	-4.585417	-24.538194	   NA	11.8280	12.3918	10.3233	11.5107	11.8750	10.6291	9.5665	11.8646	10.5700	13.7105	10.8429	9.4661	11.4866	14.7850	12.1526	11.0772	14.6669	11.5858	0.77	0.35	11.1973	1.43	0.58	12.2724	2.10	0.86
3.625	-4.460417	-24.413194	   NA	12.2529	12.8625	10.7080	11.9213	12.3094	10.9675	9.9394	12.2286	10.9614	14.1068	11.2343	9.7768	11.4492	15.1394	12.6074	11.5129	14.6295	12.0108	0.80	0.36	11.5730	1.44	0.59	12.5192	2.05	0.84
3.75	-4.335417	-24.288194	   NA	12.6690	13.3351	11.0857	12.3304	12.7357	11.3180	10.3364	12.5925	11.3486	14.5245	11.6309	10.1079	11.4118	15.4839	13.0510	11.9541	14.5921	12.4312	0.83	0.37	11.9585	1.45	0.59	12.7668	2.02	0.82
3.875	-4.210417	-24.163194	   NA	13.0828	13.8047	11.4517	12.7420	13.1744	11.7039	10.7640	12.9903	11.7258	14.9970	12.0467	10.4467	11.3744	15.8754	13.4974	12.3942	14.5547	12.8511	0.87	0.39	12.3713	1.47	0.60	13.0238	2.02	0.83
4	-4.085417	-24.038194	   NA	13.5082	14.2603	11.8171	13.1570	13.6286	12.0972	11.1943	13.4056	12.1082	15.5438	12.4765	10.7922	11.3370	16.3149	13.9415	12.8308	14.5173	13.2742	0.91	0.41	12.8043	1.52	0.62	13.2889	2.07	0.84
4.125	-3.960417	-23.913194	   NA	13.9591	14.7004	12.1881	13.5709	14.0911	12.4928	11.6179	13.8016	12.4915	16.1285	12.8914	11.1458	11.2996	16.7495	14.3898	13.2636	14.4799	13.7019	0.94	0.42	13.2373	1.58	0.65	13.5547	2.13	0.87
4.25	-3.835417	-23.788194	   NA	14.4242	15.1443	12.5663	13.9887	14.5550	12.8885	12.0361	14.2301	12.8757	16.6107	13.3092	11.4891	11.5722	17.1378	14.8493	13.6962	14.8759	14.1357	0.97	0.43	13.6584	1.61	0.66	13.9367	2.17	0.89
4.375	-3.710417	-23.663194	   NA	14.8926	15.5947	12.9475	14.4118	15.0155	13.2644	12.4317	14.6755	13.2459	17.0351	13.7264	11.8199	11.9028	17.5779	15.3139	14.1292	15.3428	14.5724	1.00	0.45	14.0632	1.63	0.67	14.3477	2.23	0.91
