days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	   NA	-3.7603	4.6978	0.1499	-0.5592	0.1509	0.0586	2.9610	0.5476	-1.4996	-0.2491	-0.4107	2.1036	24.9794	0.6143	-1.1686	1.1886	24.4251	0.1358	3.02	1.35	0.2346	1.50	0.61	8.6904	12.45	5.08
3.25	-4.835417	-24.788194	   NA	-5.0246	1.6978	-0.0021	-2.4016	-1.2760	-0.4199	-0.0390	-1.5573	-1.8474	-1.9810	-1.9604	1.2304	21.9794	-1.7032	-1.8011	-1.2185	21.4251	-1.4013	2.54	1.13	-1.3008	0.85	0.35	6.6520	11.71	4.78
3.375	-4.710417	-24.663194	   NA	-5.1016	-0.3059	0.0712	-2.5075	-1.3095	-0.4168	-1.1677	-1.5748	-1.8534	-2.0547	-2.0203	1.3065	18.9794	-1.7632	-1.8105	-1.2531	18.4251	-1.8307	2.08	0.93	-1.5146	0.63	0.26	5.6474	10.18	4.16
3.5	-4.585417	-24.538194	   NA	-5.1641	-0.3124	0.1583	-2.5902	-1.3197	-0.4193	-1.2130	-1.5948	-1.8198	-2.1128	-2.0284	1.4303	15.9794	-1.7683	-1.8095	-1.2773	15.4251	-1.8456	2.13	0.95	-1.5313	0.63	0.26	4.6633	8.64	3.53
3.625	-4.460417	-24.413194	   NA	-5.2243	-0.3226	0.2836	-2.6172	-1.3293	-0.4014	-1.2469	-1.6078	-1.8242	-2.1492	-2.0147	1.5849	12.9794	-1.7598	-1.8015	-1.2790	12.4251	-1.8420	2.19	0.98	-1.5407	0.64	0.26	3.6915	7.09	2.90
3.75	-4.335417	-24.288194	   NA	-5.2879	-0.3661	0.3558	-2.6195	-1.3537	-0.3683	-1.2864	-1.6157	-1.8525	-2.1754	-1.9940	1.7492	9.9794	-1.7669	-1.7731	-1.2995	9.4251	-1.8543	2.22	0.99	-1.5487	0.66	0.27	2.7190	5.57	2.27
3.875	-4.210417	-24.163194	   NA	-5.3571	-0.4322	0.3642	-2.6434	-1.4254	-0.3468	-1.3607	-1.6693	-1.8448	-2.1821	-2.0226	1.9143	6.9794	-1.7838	-1.7680	-1.3468	6.4251	-1.8988	2.24	1.00	-1.5711	0.66	0.27	1.7367	4.09	1.67
4	-4.085417	-24.038194	   NA	-5.4214	-0.5131	0.3684	-2.6836	-1.5296	-0.3404	-1.4430	-1.7692	-1.8328	-2.1883	-2.0930	2.0759	3.9794	-1.7967	-1.7932	-1.3737	3.4251	-1.9559	2.25	1.01	-1.6111	0.68	0.28	0.7528	2.71	1.11
4.125	-3.960417	-23.913194	   NA	-5.4716	-0.5709	0.3882	-2.7167	-1.6116	-0.3275	-1.5069	-1.8226	-1.7976	-2.2530	-2.1417	2.2171	0.9794	-1.8096	-1.8524	-1.3885	0.4251	-1.9965	2.26	1.01	-1.6416	0.70	0.28	-0.2382	1.69	0.69
4.25	-3.835417	-23.788194	   NA	-5.5082	-0.6018	0.4073	-2.7873	-1.6528	-0.2847	-1.5692	-1.8857	-1.7777	-2.3328	-2.1819	2.3175	0.4816	-1.8265	-1.9242	-1.4025	-0.0321	-2.0286	2.28	1.02	-1.6720	0.73	0.30	-0.3977	1.65	0.67
