days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
4	-4.085417	-24.038194	   NA	-25.9274	-20.4652	-8.7753	-23.9871	-25.0358	-31.8032	-30.0703	-30.6732	-27.0112	-24.4803	-24.5755	-8.3263	-34.3094	-20.8913	-22.4877	-23.4143	-39.9402	-20.8382	7.05	3.16	-28.1023	3.19	1.30	-24.8949	11.08	4.52
4.125	-3.960417	-23.913194	   NA	-26.0656	-20.5743	-8.8230	-24.1134	-25.1688	-31.9710	-30.2304	-30.8349	-27.1553	-24.6069	-24.7037	-8.3690	-37.3094	-21.0027	-22.6088	-23.5362	-42.9402	-20.9490	7.09	3.17	-28.2504	3.21	1.31	-25.9611	12.40	5.06
4.25	-3.835417	-23.788194	   NA	-26.2032	-20.6813	-8.8693	-24.2398	-25.3014	-32.1386	-30.3912	-30.9963	-27.2987	-24.7345	-24.8313	-8.4121	-37.9019	-21.1119	-22.7285	-23.6582	-43.4648	-21.0590	7.13	3.19	-28.3984	3.23	1.32	-26.2129	12.62	5.15
4.375	-3.710417	-23.663194	   NA	-26.3395	-20.7886	-8.9153	-24.3666	-25.4334	-32.3063	-30.5515	-31.1579	-27.4415	-24.8632	-24.9594	-8.4547	-38.0137	-21.2215	-22.8468	-23.7808	-43.6081	-21.1687	7.17	3.21	-28.5466	3.24	1.32	-26.3209	12.64	5.16
4.5	-3.585417	-23.538194	   NA	-26.4751	-20.8974	-8.9626	-24.4931	-25.5657	-32.4748	-30.7116	-31.3198	-27.5841	-24.9925	-25.0878	-8.4973	-38.1253	-21.3321	-22.9656	-23.9033	-43.7510	-21.2788	7.20	3.22	-28.6951	3.26	1.33	-26.4291	12.67	5.17
4.625	-3.460417	-23.413194	   NA	-26.6108	-21.0058	-9.0089	-24.6183	-25.6980	-32.6427	-30.8716	-31.4814	-27.7266	-25.1218	-25.2163	-8.5394	-38.2363	-21.4430	-23.0853	-24.0255	-43.8945	-21.3884	7.24	3.24	-28.8434	3.28	1.34	-26.5373	12.70	5.18
4.75	-3.335417	-23.288194	   NA	-26.7469	-21.1136	-9.0544	-24.7430	-25.8292	-32.8093	-31.0311	-31.6420	-27.8687	-25.2497	-25.3450	-8.5820	-38.3470	-21.5538	-23.2048	-24.1476	-44.0386	-21.4974	7.28	3.25	-28.9910	3.30	1.35	-26.6456	12.73	5.20
4.875	-3.210417	-23.163194	   NA	-26.8827	-21.2226	-9.1010	-24.8691	-25.9605	-32.9764	-31.1911	-31.8017	-28.0111	-25.3759	-25.4729	-8.6260	-38.4568	-21.6635	-23.3234	-24.2698	-44.1826	-21.6072	7.31	3.27	-29.1382	3.31	1.35	-26.7537	12.75	5.21
5	-3.085417	-23.038194	   NA	-27.0194	-21.3323	-9.1488	-24.9955	-26.0943	-33.1442	-31.3517	-31.9622	-28.1541	-25.5028	-25.6010	-8.6711	-38.5669	-21.7728	-23.4431	-24.3923	-44.3259	-21.7181	7.35	3.29	-29.2860	3.33	1.36	-26.8620	12.78	5.22
5.125	-2.960417	-22.913194	   NA	-27.1566	-21.4418	-9.1966	-25.1233	-26.2279	-33.3112	-31.5123	-32.1228	-28.2967	-25.6310	-25.7299	-8.7163	-38.6778	-21.8836	-23.5633	-24.5166	-44.4688	-21.8292	7.39	3.30	-29.4340	3.35	1.37	-26.9711	12.81	5.23
