days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
4	-4.085417	-24.038194	   NA	13.0722	14.5412	12.4652	14.4097	13.1735	12.0568	11.5160	14.1026	12.3798	13.2339	12.8432	11.2357	-0.9234	14.4235	12.1515	14.3380	0.3112	13.5324	0.90	0.40	12.6887	0.92	0.37	8.5894	7.01	2.86
4.125	-3.960417	-23.913194	   NA	13.1279	14.6029	12.5224	14.4676	13.2294	12.1130	11.5691	14.1633	12.4362	13.2905	12.8978	11.2886	-3.9234	14.4857	12.2087	14.4007	-2.6888	13.5901	0.91	0.40	12.7450	0.92	0.37	7.6286	8.57	3.50
4.25	-3.835417	-23.788194	   NA	13.1816	14.6633	12.5788	14.5248	13.2824	12.1676	11.6204	14.2239	12.4920	13.3442	12.9514	11.3406	-4.3757	14.5464	12.2646	14.4635	-3.0364	13.6462	0.91	0.41	12.7999	0.92	0.38	7.5338	8.80	3.59
4.375	-3.710417	-23.663194	   NA	13.2336	14.7224	12.6338	14.5817	13.3340	12.2217	11.6706	14.2847	12.5474	13.3965	13.0042	11.3912	-4.3185	14.6073	12.3193	14.5244	-2.9751	13.7011	0.91	0.41	12.8542	0.92	0.38	7.5914	8.80	3.59
4.5	-3.585417	-23.538194	   NA	13.2858	14.7828	12.6889	14.6388	13.3869	12.2761	11.7210	14.3458	12.6026	13.4498	13.0573	11.4421	-4.2604	14.6699	12.3743	14.5856	-2.9133	13.7566	0.91	0.41	12.9088	0.93	0.38	7.6497	8.80	3.59
4.625	-3.460417	-23.413194	   NA	13.3392	14.8459	12.7454	14.6978	13.4420	12.3317	11.7726	14.4071	12.6596	13.5052	13.1111	11.4946	-4.2010	14.7330	12.4311	14.6491	-2.8500	13.8141	0.92	0.41	12.9646	0.93	0.38	7.7095	8.80	3.59
4.75	-3.335417	-23.288194	   NA	13.3944	14.9123	12.8036	14.7590	13.4982	12.3890	11.8254	14.4686	12.7180	13.5621	13.1670	11.5477	-4.1402	14.7974	12.4883	14.7135	-2.7859	13.8735	0.92	0.41	13.0217	0.93	0.38	7.7701	8.80	3.59
4.875	-3.210417	-23.163194	   NA	13.4520	14.9812	12.8635	14.8228	13.5560	12.4473	11.8799	14.5346	12.7773	13.6222	13.2259	11.6021	-4.0771	14.8658	12.5460	14.7808	-2.7198	13.9351	0.92	0.41	13.0812	0.93	0.38	7.8330	8.80	3.59
5	-3.085417	-23.038194	   NA	13.5106	15.0514	12.9242	14.8893	13.6160	12.5060	11.9345	14.6045	12.8378	13.6856	13.2863	11.6576	-4.0117	14.9384	12.6055	14.8514	-2.6521	13.9983	0.93	0.41	13.1425	0.94	0.38	7.8982	8.80	3.59
5.125	-2.960417	-22.913194	   NA	13.5688	15.1213	12.9844	14.9559	13.6765	12.5645	11.9889	14.6744	12.8987	13.7488	13.3461	11.7129	-3.9469	15.0105	12.6651	14.9215	-2.5838	14.0614	0.93	0.42	13.2036	0.94	0.39	7.9632	8.80	3.59
5.25	-2.835417	-22.788194	   NA	13.6260	15.1904	13.0438	15.0219	13.7366	12.6221	12.0439	14.7435	12.9592	13.8112	13.4054	11.7678	-3.8828	15.0795	12.7243	14.9914	-2.5152	14.1237	0.94	0.42	13.2642	0.95	0.39	8.0275	8.80	3.59
5.375	-2.710417	-22.663194	   NA	13.6837	15.2605	13.1046	15.0908	13.7966	12.6798	12.0998	14.8139	13.0197	13.8752	13.4657	11.8236	-3.8187	15.1494	12.7850	15.0631	-2.4455	14.1872	0.94	0.42	13.3257	0.95	0.39	8.0928	8.80	3.59
5.5	-2.585417	-22.538194	   NA	13.7442	15.3333	13.1675	15.1637	13.8584	12.7396	12.1561	14.8864	13.0810	13.9410	13.5281	11.8817	-3.7531	15.2249	12.8468	15.1362	-2.3745	14.2534	0.95	0.42	13.3887	0.96	0.39	8.1603	8.80	3.59
5.625	-2.460417	-22.413194	   NA	13.8070	15.4089	13.2312	15.2377	13.9230	12.8017	12.2131	14.9592	13.1443	14.0069	13.5914	11.9405	-3.6841	15.3009	12.9093	15.2115	-2.3024	14.3216	0.95	0.43	13.4528	0.96	0.39	8.2293	8.80	3.59
5.75	-2.335417	-22.288194	   NA	13.8723	15.4870	13.2956	15.3143	13.9895	12.8653	12.2719	15.0331	13.2100	14.0737	13.6560	11.9988	-3.6136	15.3757	12.9725	15.2883	-2.2279	14.3918	0.96	0.43	13.5184	0.97	0.40	8.2990	8.80	3.59
5.875	-2.210417	-22.163194	   NA	13.9401	15.5672	13.3614	15.3939	14.0584	12.9303	12.3324	15.1089	13.2769	14.1431	13.7241	12.0583	-3.5425	15.4530	13.0364	15.3658	-2.1511	14.4642	0.97	0.43	13.5860	0.97	0.40	8.3700	8.80	3.59
6	-2.085417	-22.038194	   NA	14.0106	15.6483	13.4287	15.4753	14.1302	12.9959	12.3947	15.1876	13.3437	14.2159	13.7956	12.1202	-3.4705	15.5327	13.1023	15.4447	-2.0741	14.5386	0.97	0.44	13.6556	0.98	0.40	8.4426	8.80	3.59
6.125	-1.960417	-21.913194	   NA	14.0825	15.7308	13.4971	15.5568	14.2030	13.0612	12.4561	15.2684	13.4106	14.2895	13.8667	12.1823	-3.3978	15.6135	13.1691	15.5244	-1.9978	14.6140	0.98	0.44	13.7254	0.99	0.40	8.5156	8.80	3.59
6.25	-1.835417	-21.788194	   NA	14.1543	15.8124	13.5658	15.6371	14.2757	13.1268	12.5167	15.3470	13.4779	14.3612	13.9365	12.2430	-3.3259	15.6943	13.2353	15.6036	-1.9217	14.6891	0.98	0.44	13.7944	0.99	0.41	8.5881	8.80	3.59
6.375	-1.710417	-21.663194	   NA	14.2272	15.8941	13.6344	15.7186	14.3496	13.1927	12.5795	15.4253	13.5463	14.4339	14.0081	12.3041	-3.2538	15.7753	13.3017	15.6844	-1.8445	14.7648	0.99	0.44	13.8643	1.00	0.41	8.6612	8.80	3.59
