days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
4	-4.085417	-24.038194	   NA	1.5183	3.3412	2.3172	1.8196	3.4764	13.8821	5.6681	19.5936	7.9244	11.5518	13.2772	1.2322	-6.6478	3.2597	3.1615	1.8449	-12.3105	2.4945	0.88	0.40	11.9829	4.89	2.00	-1.5767	6.42	2.62
4.125	-3.960417	-23.913194	   NA	1.5287	3.3569	2.3292	1.8313	3.4950	13.9523	5.6900	19.6992	7.9566	11.6123	13.3510	1.2383	-9.6478	3.2787	3.1779	1.8536	-15.3105	2.5082	0.89	0.40	12.0436	4.92	2.01	-2.5683	7.92	3.23
4.25	-3.835417	-23.788194	   NA	1.5387	3.3730	2.3411	1.8421	3.5134	14.0229	5.7127	19.8038	7.9883	11.6744	13.4241	1.2444	-10.1095	3.2977	3.1944	1.8622	-15.7028	2.5217	0.89	0.40	12.1044	4.95	2.02	-2.7023	8.14	3.32
4.375	-3.710417	-23.663194	   NA	1.5486	3.3893	2.3532	1.8518	3.5316	14.0938	5.7371	19.9095	8.0206	11.7360	13.4981	1.2505	-10.0637	3.3171	3.2110	1.8719	-15.6944	2.5349	0.89	0.40	12.1658	4.98	2.03	-2.6846	8.13	3.32
4.5	-3.585417	-23.538194	   NA	1.5582	3.4059	2.3654	1.8606	3.5498	14.1656	5.7626	20.0152	8.0537	11.7964	13.5738	1.2568	-10.0183	3.3370	3.2274	1.8818	-15.6869	2.5480	0.90	0.40	12.2279	5.01	2.05	-2.6670	8.13	3.32
4.625	-3.460417	-23.413194	   NA	1.5673	3.4223	2.3775	1.8685	3.5678	14.2381	5.7882	20.1192	8.0876	11.8582	13.6495	1.2631	-9.9735	3.3567	3.2436	1.8910	-15.6803	2.5607	0.90	0.40	12.2901	5.04	2.06	-2.6499	8.13	3.32
4.75	-3.335417	-23.288194	   NA	1.5762	3.4387	2.3896	1.8758	3.5862	14.3103	5.8137	20.2226	8.1228	11.9200	13.7237	1.2693	-9.9297	3.3756	3.2598	1.8999	-15.6722	2.5733	0.91	0.41	12.3522	5.07	2.07	-2.6329	8.12	3.32
4.875	-3.210417	-23.163194	   NA	1.5851	3.4551	2.4016	1.8827	3.6045	14.3819	5.8386	20.3251	8.1589	11.9799	13.7958	1.2754	-9.8868	3.3936	3.2761	1.9091	-15.6641	2.5858	0.91	0.41	12.4134	5.10	2.08	-2.6161	8.12	3.31
5	-3.085417	-23.038194	   NA	1.5940	3.4718	2.4134	1.8899	3.6227	14.4528	5.8633	20.4264	8.1952	12.0392	13.8655	1.2813	-9.8448	3.4111	3.2921	1.9184	-15.6581	2.5984	0.92	0.41	12.4737	5.12	2.09	-2.6000	8.12	3.31
5.125	-2.960417	-22.913194	   NA	1.6025	3.4888	2.4252	1.8973	3.6408	14.5232	5.8883	20.5270	8.2316	12.0984	13.9336	1.2875	-9.8034	3.4281	3.3080	1.9279	-15.6525	2.6109	0.92	0.41	12.5337	5.15	2.10	-2.5841	8.11	3.31
