days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	-45.9387	-35.9353	-15.5438	-42.6492	-44.6023	-56.5453	-53.7217	-53.956	-47.8268	-42.6707	-42.7227	-14.1401	-36.6237	-37.3229	-39.6022	-40.3312	-49.5828	-36.9339	12.56	5.62	-49.5739	6.04	2.47	-36.2672	11.80	4.82
3.25	-4.835417	-24.788194	NA	-46.0549	-36.1311	-15.1496	-42.8705	-44.4357	-56.1215	-53.3569	-53.7923	-47.0838	-42.5264	-42.8178	-14.0124	-36.6237	-36.5572	-40.6833	-40.2785	-49.5828	-36.9284	12.75	5.70	-49.2831	5.93	2.42	-36.2897	11.90	4.86
3.375	-4.710417	-24.663194	NA	-46.1774	-36.2762	-15.7192	-42.7397	-43.9198	-55.8582	-53.423	-53.4725	-47.9296	-42.8086	-43.1192	-13.8214	-36.6237	-37.1346	-40.3755	-39.4736	-49.5828	-36.9665	12.43	5.56	-49.4352	5.65	2.31	-36.1686	11.91	4.86
3.5	-4.585417	-24.538194	NA	-46.7159	-36.1087	-16.4124	-42.3648	-43.6331	-56.3566	-54.0133	-54.1463	-47.688	-43.0725	-43.7333	-14.3401	-36.6237	-37.0829	-40.6274	-40.0702	-49.5828	-37.0470	12.16	5.44	-49.8350	5.76	2.35	-36.3879	11.77	4.80
3.625	-4.460417	-24.413194	NA	-46.3138	-36.4374	-15.1896	-42.7386	-44.3147	-56.868	-54.0574	-54.8971	-47.1003	-42.9469	-43.9012	-14.6857	-36.6237	-37.2842	-40.4987	-40.7964	-49.5828	-36.9988	12.74	5.70	-49.9618	6.05	2.47	-36.5786	11.68	4.77
3.75	-4.335417	-24.288194	NA	-46.3784	-36.0107	-16.201	-42.6836	-44.4582	-56.0124	-53.9992	-54.3869	-47.4744	-42.8251	-43.1208	-14.3773	-36.6237	-36.954	-40.362	-40.397	-49.5828	-37.1464	12.34	5.52	-49.6365	5.93	2.42	-36.3828	11.75	4.80
3.875	-4.210417	-24.163194	NA	-46.2115	-36.5062	-15.8991	-42.6838	-44.1434	-55.6004	-53.6034	-53.6996	-48.266	-42.7276	-42.6604	-13.8598	-36.6237	-36.7784	-39.8438	-40.7552	-49.5828	-37.0888	12.39	5.54	-49.4262	5.76	2.35	-36.2406	11.94	4.87
4	-4.085417	-24.038194	NA	-45.9503	-36.6438	-15.9495	-42.1757	-44.2409	-55.9194	-53.1698	-53.7104	-48.1936	-42.2457	-42.9619	-13.9968	-36.6237	-37.9949	-40.2641	-40.4554	-49.5828	-36.9920	12.27	5.49	-49.3668	5.82	2.38	-36.4863	11.91	4.86
4.125	-3.960417	-23.913194	NA	-46.2083	-36.0901	-15.8526	-42.0607	-44.4822	-55.9907	-53.5222	-54.0815	-47.8832	-42.1844	-42.508	-14.5133	-36.811	-36.2783	-40.4613	-40.6286	-48.0434	-36.9388	12.39	5.54	-49.3617	6.07	2.48	-36.1227	11.39	4.65
4.25	-3.835417	-23.788194	NA	-45.4953	-35.2172	-15.0137	-42.2202	-43.8843	-55.7071	-53.6681	-53.5196	-47.7178	-42.872	-42.5229	-14.2129	-37.0499	-36.434	-39.368	-40.8357	-48.0247	-36.3661	12.56	5.62	-49.3346	5.79	2.36	-35.9875	11.45	4.67
4.375	-3.710417	-23.663194	NA	-45.4188	-36.3232	-15.6687	-42.2822	-44.094	-56.0882	-53.2272	-54.172	-47.5736	-42.8913	-42.9124	-14.1898	-37.5008	-36.6517	-39.4635	-40.9524	-47.5295	-36.7574	12.29	5.50	-49.4774	5.83	2.38	-36.0480	11.38	4.65
4.5	-3.585417	-23.538194	NA	-44.9806	-36.2287	-15.8317	-42.0414	-44.1429	-56.2904	-53.5299	-53.771	-47.4478	-43.3627	-42.6612	-14.1698	-36.8999	-37.0946	-39.7495	-40.7171	-47.7297	-36.6451	12.13	5.42	-49.5105	5.82	2.38	-36.0601	11.42	4.66
4.625	-3.460417	-23.413194	NA	-45.432	-36.0392	-15.0732	-41.4546	-44.0217	-55.6018	-53.0997	-53.945	-47.4798	-42.8246	-43.011	-13.9562	-37.1266	-36.8854	-40.0278	-40.7264	-47.9316	-36.4041	12.45	5.57	-49.3270	5.67	2.31	-36.1090	11.57	4.72
4.75	-3.335417	-23.288194	NA	-45.3248	-35.8627	-15.249	-41.5607	-43.4565	-55.4901	-53.2043	-53.1834	-47.2767	-42.4247	-42.7926	-14.417	-36.6477	-36.9002	-39.6688	-40.6855	-48.1714	-36.2907	12.28	5.49	-49.0620	5.69	2.32	-36.0818	11.41	4.66
4.875	-3.210417	-23.163194	NA	-45.2169	-36.7512	-15.8318	-42.1271	-44.0814	-55.8776	-53.4355	-53.2689	-47.6686	-41.7021	-42.4825	-14.7136	-36.5453	-36.211	-39.4262	-40.7439	-47.8224	-36.8017	12.16	5.44	-49.0725	6.04	2.47	-35.9104	11.20	4.57
5	-3.085417	-23.038194	NA	-45.9103	-36.4295	-15.9932	-42.6379	-45.1477	-56.0338	-53.7108	-53.7179	-47.6604	-42.9022	-42.9304	-15.2307	-36.8876	-36.6833	-40.3224	-40.9269	-47.6736	-37.2237	12.44	5.56	-49.4926	5.80	2.37	-36.2874	11.06	4.51
5.125	-2.960417	-22.913194	NA	-45.5625	-36.5477	-15.8792	-42.5793	-43.892	-55.2851	-53.2588	-53.3278	-47.4166	-42.5667	-42.9698	-15.2443	-37.0214	-37.2707	-39.8161	-41.9262	-47.6178	-36.8921	12.23	5.47	-49.1375	5.59	2.28	-36.4828	11.11	4.53
5.25	-2.835417	-22.788194	NA	-45.3522	-35.908	-15.7334	-41.381	-43.5303	-55.2262	-52.9283	-53.3063	-47.125	-43.0572	-42.2543	-14.8008	-36.7923	-36.6644	-39.23	-40.8404	-47.9151	-36.3810	12.07	5.40	-48.9829	5.60	2.29	-36.0405	11.19	4.57
5.375	-2.710417	-22.663194	NA	-45.941	-36.1076	-15.2929	-41.6292	-43.6318	-55.7784	-53.9282	-52.6866	-47.1985	-43.0021	-42.7427	-14.6575	-36.9507	-36.4217	-39.2332	-41.3911	-47.9186	-36.5205	12.41	5.55	-49.2227	5.69	2.32	-36.0955	11.30	4.61
