days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	83.2386	90.6022	68.7892	87.6029	85.8067	121.3353	108.6761	100.0883	124.8318	134.7599	114.0087	48.1554	61.7062	104.1558	114.2288	109.2746	275.3671	83.2079	8.49	3.80	117.2833	12.32	5.03	118.8147	81.35	33.21
3.25	-4.835417	-24.788194	NA	82.1486	90.2698	69.2027	86.9778	85.4454	117.7799	108.9896	101.1294	121.5881	134.568	113.769	47.6375	61.7062	104.0296	109.3639	108.6135	275.3671	82.8089	8.15	3.64	116.3040	11.44	4.67	117.7863	81.54	33.29
3.375	-4.710417	-24.663194	NA	76.1759	88.308	63.2878	84.5013	82.5906	109.1006	107.3236	99.7046	115.536	133.9254	112.6705	45.2222	61.7062	101.8526	102.8363	106.0092	275.3671	78.9727	9.81	4.39	113.0435	11.56	4.72	115.4989	82.25	33.58
3.5	-4.585417	-24.538194	NA	71.8212	85.2889	63.7038	81.3615	79.684	107.6529	106.03	96.528	116.2373	132.1712	110.8416	44.3797	61.7062	97.9684	101.6078	104.1378	275.3671	76.3719	8.61	3.85	111.5768	11.99	4.90	114.1945	82.62	33.73
3.625	-4.460417	-24.413194	NA	67.1622	82.9151	59.9867	79.2268	76.9237	103.5027	104.0587	95.5249	111.2091	130.475	109.5567	42.8036	61.7062	96.5656	97.9517	104.052	275.3671	73.2429	9.43	4.22	109.0545	11.85	4.84	113.0744	83.06	33.91
3.75	-4.335417	-24.288194	NA	66.1425	80.5663	64.4973	77.2721	75.4247	105.5851	103.572	93.1074	114.0753	128.5971	109.3547	43.7393	61.7062	94.1152	99.6285	102.6467	275.3671	72.7806	7.08	3.17	109.0486	11.86	4.84	112.8672	82.99	33.88
3.875	-4.210417	-24.163194	NA	72.4791	83.7223	68.3006	80.1452	78.8879	112.5384	105.8297	94.6254	122.1751	129.5741	111.456	46.0855	61.7062	96.1197	106.4338	105.567	275.3671	76.7070	6.21	2.78	112.6998	12.25	5.00	115.2132	82.25	33.58
4	-4.085417	-24.038194	NA	79.0846	88.683	70.5164	84.9383	83.1426	117.4767	108.4016	99.319	125.233	131.6207	113.9349	48.2934	61.7062	99.347	109.7063	110.4014	275.3671	81.2730	6.93	3.10	115.9976	11.59	4.73	117.4702	81.57	33.30
4.125	-3.960417	-23.913194	NA	81.7329	89.2062	72.0198	85.7198	83.5629	119.797	110.5104	99.2936	127.064	132.2694	114.5002	49.7715	63.5074	102.4676	110.0674	110.9514	195.4932	82.4483	6.46	2.89	117.2391	11.86	4.84	105.3764	51.04	20.84
4.25	-3.835417	-23.788194	NA	82.7342	89.3439	69.5216	86.7935	84.2436	117.8918	111.9076	102.6385	125.3276	132.5553	114.6362	49.3302	63.7667	102.6367	108.6298	111.1953	148.947	82.5274	7.69	3.44	117.4928	10.47	4.28	97.4176	35.90	14.65
