days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	11391.3222	11392.3291	9668.2879	11047.4635	11263.4522	11191.095	9370.3459	11393.2686	11150.6225	13657.5046	10402.4041	9367.4632	8215.0746	13107.6996	11473.8156	10219.2221	11189.8901	10952.5710	731.59	327.18	11194.2068	1418.65	579.16	10595.5275	1717.67	701.24
3.25	-4.835417	-24.788194	NA	11665.7067	11662.6043	9718.3277	10737.4771	11647.6905	10069.2758	8645.1816	11470.7936	8553.5193	10391.3961	10322.1571	8497.0299	8215.0746	15012.7956	10927.3883	11039.9236	11189.8901	11086.3613	862.56	385.75	9908.7206	1122.75	458.36	10813.6837	2447.77	999.30
3.375	-4.710417	-24.663194	NA	11437.7048	12381.8692	10272.6011	10703.6142	11924.1992	9018.2434	9593.7823	11268.6268	8923.6351	8806.8335	9110.7695	7950.7087	8215.0746	9563.2353	11560.0766	11155.172	11189.8901	11343.9977	863.22	386.04	9453.6484	929.54	379.48	9939.0262	1596.13	651.62
3.5	-4.585417	-24.538194	NA	11437.9058	12631.5046	10262.118	10975.7106	11801.5339	8733.0037	9950.5923	9767.0372	9209.0215	10073.4416	10335.6025	8206.8742	8215.0746	9913.7845	12603.4875	11505.407	11189.8901	11421.7546	887.65	396.97	9678.1165	597.33	243.86	10272.4196	1812.38	739.90
3.625	-4.460417	-24.413194	NA	11281.3754	12532.9006	10304.2738	10979.983	11421.2836	9357.7546	9988.7331	9693.082	11714.455	11116.1606	10592.0756	8402.2406	8215.0746	9034.894	11712.4985	11791.3074	11189.8901	11303.9633	810.69	362.55	10410.3768	898.01	366.61	10057.6509	1685.68	688.18
3.75	-4.335417	-24.288194	NA	10962.1295	12738.9878	9889.6415	10891.3139	11370.0096	9384.8165	11239.6679	9767.9511	8991.0999	11213.2189	10611.5359	8820.4755	8215.0746	9387.2464	12007.0611	11799.5127	11189.8901	11170.4165	1032.22	461.62	10201.3817	958.07	391.13	10236.5434	1630.91	665.82
3.875	-4.210417	-24.163194	NA	11096.6397	12433.6197	9717.9433	11125.6958	12025.3677	10851.632	11677.0989	11618.3454	10644.8367	13682.9264	11677.1918	9366.6409	8215.0746	11506.9249	11920.1893	11740.7106	11189.8901	11279.8532	1046.88	468.18	11692.0052	1074.47	438.65	10656.5717	1510.26	616.56
4	-4.085417	-24.038194	NA	11722.3049	11737.8796	9803.3586	11039.0794	12345.8936	10382.8475	11271.6905	10197.3632	10015.9018	16258.7089	11218.3795	9496.6439	8215.0746	12112.0377	11788.2228	11579.0024	11189.8901	11329.7032	970.51	434.03	11557.4819	2362.39	964.44	10730.1452	1536.76	627.38
4.125	-3.960417	-23.913194	NA	12387.182	11791.9704	10034.4853	11091.6653	12381.0932	10768.4581	11375.6966	10977.8931	10476.2331	15005.1821	10963.2055	9407.7568	9694.43	11127.7161	12183.16	11564.0688	12037.3557	11537.2792	994.51	444.76	11594.4447	1696.60	692.63	11002.4146	1187.45	484.77
4.25	-3.835417	-23.788194	NA	12478.1841	11942.0532	10185.0234	11246.2921	12420.0652	10383.4381	10984.8234	11933.5644	10068.1135	10774.4657	11375.5032	8944.8621	8247.5249	9631.5804	12380.7864	11559.619	12515.0308	11654.3236	958.28	428.56	10919.9847	674.36	275.31	10546.5673	1841.40	751.75
4.375	-3.710417	-23.663194	NA	12566.1526	12141.3338	10199.0937	11373.3083	12204.2328	9717.8991	10164.3002	11878.7666	9561.623	11913.6579	10932.7538	8741.5726	9427.8012	13903.1098	12459.9716	11593.189	12450.2351	11696.8242	943.22	421.82	10694.8334	1045.36	426.77	11429.3132	1973.88	805.83
4.5	-3.585417	-23.538194	NA	12500.8498	12126.026	10288.1324	11414.5153	12348.2877	10118.1533	11789.07	11543.6194	9819.3314	12513.6949	11311.348	9418.7959	9937.2433	11470.8132	12794.4906	11501.4062	12006.8578	11735.5622	909.90	406.92	11182.5362	1027.43	419.45	11188.2678	1274.68	520.39
4.625	-3.460417	-23.413194	NA	12777.2941	12546.5883	10222.0315	11471.6318	12326.8645	11456.0906	11100.3726	9497.9955	11260.0684	14006.1661	10366.7355	9509.7976	9521.7727	9299.3402	12582.0984	11587.4868	12690.8205	11868.8820	1044.53	467.13	11281.2381	1516.92	619.28	10865.2194	1606.00	655.65
4.75	-3.335417	-23.288194	NA	12588.1043	12382.8743	10110.8019	11319.2345	12150.3674	11135.8219	11266.4602	11501.4511	9874.9325	11443.3932	10935.4327	9936.51	8120.4336	10937.1412	12314.35	11458.8179	12813.2048	11710.2765	1015.86	454.31	11026.2486	600.55	245.17	10930.0763	1710.16	698.17
4.875	-3.210417	-23.163194	NA	12422.5799	12001.9858	10102.4317	11182.3829	12291.9599	10384.1423	11148.5612	11893.4954	10488.4755	12034.183	11405.491	9970.736	9613.6968	13282.5338	12345.9188	11384.5111	12518.927	11600.2680	966.20	432.10	11225.7247	691.32	282.23	11519.3872	1472.35	601.08
5	-3.085417	-23.038194	NA	12515.9767	12075.6787	10078.553	11185.985	12438.9996	11171.2253	11026.1716	12075.3999	11756.7128	11892.9183	11297.8571	10022.2943	10149.2356	17474.5264	12390.0313	11410.5693	12160.0183	11659.0386	1029.32	460.33	11536.7142	428.19	174.81	12267.7792	2735.03	1116.57
5.125	-2.960417	-22.913194	NA	12492.8563	11733.7606	10022.6626	11177.8227	12713.3467	11609.4584	11627.4131	12193.0704	11850.2555	11956.8463	11271.6264	9635.0756	8598.5733	12743.557	12542.1048	11473.4101	12623.0034	11628.0898	1085.92	485.64	11751.4450	320.24	130.74	11269.2874	1759.04	718.13
