days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	-62.667	11.6825	7.7179	-28.3324	-16.3594	5.0446	-16.5332	-22.6402	-19.6838	-27.4823	-24.9763	13.8493	-3.3381	-18.815	-24.778	-22.374	21.2347	-17.5917	30.19	13.50	-17.7119	11.80	4.82	-5.7035	19.63	8.02
3.25	-4.835417	-24.788194	NA	-32.2317	1.3758	24.1527	-39.7136	-16.8512	7.3031	-10.7154	-8.8303	-16.9614	-22.6127	-33.145	13.5136	-3.3381	-26.3066	-6.2314	-7.4118	21.2347	-12.6536	25.91	11.59	-14.1603	13.72	5.60	-1.4233	16.84	6.88
3.375	-4.710417	-24.663194	NA	-19.1119	-8.8761	24.6975	-32.375	-5.5124	-5.257	-12.7013	0.0554	12.9631	-26.5004	-6.7656	37.248	-3.3381	-13.6836	-0.0697	-15.6404	21.2347	-8.2356	21.17	9.47	-6.3676	13.13	5.36	4.2918	20.84	8.51
3.5	-4.585417	-24.538194	NA	-22.549	4.5746	33.4103	-18.3323	-1.2814	3.6003	-19.2051	-9.5329	9.4669	-12.2177	1.3476	45.2827	-3.3381	10.3244	0.7449	-0.5233	21.2347	-0.8356	22.25	9.95	-4.4235	10.92	4.46	12.2875	18.52	7.56
3.625	-4.460417	-24.413194	NA	-17.634	-11.401	50.0862	0.3232	-5.0771	8.3875	-5.8066	-5.8969	-12.4275	-12.0286	7.7668	57.7867	-3.3381	-4.6563	4.6327	-0.6141	21.2347	3.2595	27.03	12.09	-3.3342	9.29	3.79	12.5076	24.11	9.84
3.75	-4.335417	-24.288194	NA	-24.7389	-17.6144	-1.9526	-1.845	-11.2217	13.6641	-20.5495	0.6841	-6.4355	-5.4902	6.0208	58.2621	-3.3381	-0.0855	14.2666	-13.0665	21.2347	-11.4745	9.96	4.46	-2.0177	11.77	4.81	12.8789	25.44	10.39
3.875	-4.210417	-24.163194	NA	-23.7231	-25.984	0.1324	-14.2215	-32.6135	3.5824	-30.0853	-37.2452	2.0404	0.2648	-22.9055	50.8539	-3.3381	-14.5318	-5.0912	-19.7548	21.2347	-19.2819	12.70	5.68	-14.0581	18.16	7.41	4.8955	26.58	10.85
4	-4.085417	-24.038194	NA	-16.5231	-29.2216	6.4367	-12.3781	-42.3184	-0.8358	-23.6824	-26.7596	10.4284	-2.9252	-27.3254	51.5396	-3.3381	-3.1647	-15.0613	5.1385	21.2347	-18.8009	18.34	8.20	-11.8500	16.12	6.58	9.3915	23.88	9.75
4.125	-3.960417	-23.913194	NA	-16.9771	-9.3168	9.415	-9.6956	-12.3443	9.4207	-18.9028	-8.8244	16.9194	-40.2169	-5.1352	42.6213	10.2557	8.2023	-24.404	-3.8897	-15.1347	-7.7838	10.09	4.51	-7.7899	20.44	8.35	2.9418	23.57	9.62
4.25	-3.835417	-23.788194	NA	-7.4438	-11.2734	3.3003	-37.3562	-15.0873	19.107	-22.605	-33.2291	-3.6402	-12.9309	-21.6606	24.3281	-7.195	-18.9979	-23.5092	-15.341	-21.8387	-13.5721	14.96	6.69	-12.4931	18.40	7.51	-10.4256	17.99	7.34
4.375	-3.710417	-23.663194	NA	-8.278	-20.7981	-5.6507	-11.8107	-21.8839	13.9909	-29.9239	-22.1113	-15.5025	-33.0289	-25.1365	20.7424	2.4363	-28.064	-7.4744	-10.9123	-23.118	-13.6843	7.33	3.28	-18.6187	17.11	6.98	-7.7317	17.75	7.24
4.5	-3.585417	-23.538194	NA	-9.0185	-7.6263	3.4686	-4.6943	-11.5959	1.4335	-26.8651	-28.4708	-13.6307	-4.8078	-12.3554	13.2988	5.8623	-17.5694	-10.6963	-57.234	-9.6504	-5.8933	5.80	2.59	-14.1160	11.84	4.83	-12.6648	24.66	10.07
4.625	-3.460417	-23.413194	NA	-6.6879	-17.1679	34.9715	-15.3376	-9.3072	3.7099	-16.6381	-12.5943	4.274	-11.8416	-1.2208	29.1304	-8.8779	-11.6827	-4.9815	-24.1561	-22.2581	-2.7058	21.49	9.61	-5.7185	9.09	3.71	-7.1376	19.30	7.88
