days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	16.6399	19.0191	18.4516	17.4816	16.8062	18.5336	16.2216	18.0372	17.8234	17.0975	16.9079	16.9331	19.4894	19.2318	17.9742	18.8184	20.7785	17.6797	1.03	0.46	17.4369	0.85	0.35	18.8709	1.32	0.54
3.25	-4.835417	-24.788194	NA	16.1933	18.7849	18.2233	17.2292	16.7226	17.7867	15.8819	18.281	17.5703	16.545	16.9762	16.322	19.4894	19.7147	17.6804	18.5789	20.7785	17.4307	1.06	0.48	17.1735	0.88	0.36	18.7606	1.59	0.65
3.375	-4.710417	-24.663194	NA	16.475	18.5118	17.5207	16.9092	16.8584	17.1675	16.2745	17.9781	17.2992	15.6236	16.2212	16.1929	19.4894	17.9428	17.9709	18.4232	20.7785	17.2550	0.80	0.36	16.7607	0.87	0.35	18.4663	1.55	0.63
3.5	-4.585417	-24.538194	NA	16.5736	18.764	18.0219	17.2954	16.9023	17.5015	16.0294	18.4217	17.7522	15.9517	16.4864	16.2655	19.4894	18.5952	17.6089	19.4322	20.7785	17.5114	0.88	0.40	17.0238	1.01	0.41	18.6949	1.59	0.65
3.625	-4.460417	-24.413194	NA	16.4209	18.5106	18.5282	16.9285	16.341	17.0972	15.9154	18.2555	18.4766	16.3011	16.1579	16.0633	19.4894	18.3737	17.4762	19.4752	20.7785	17.3458	1.09	0.49	17.0340	1.11	0.45	18.6094	1.68	0.68
3.75	-4.335417	-24.288194	NA	16.2285	18.7882	17.7973	17.395	16.3494	17.4373	16.514	18.2062	17.9937	16.6952	16.1457	16.7245	19.4894	18.4809	17.7439	18.9875	20.7785	17.3117	1.06	0.48	17.1654	0.84	0.34	18.7008	1.41	0.57
3.875	-4.210417	-24.163194	NA	17.3625	19.584	18.7395	18.5034	17.7518	19.2042	17.6287	19.3538	19.5943	18.2057	17.5949	17.7867	19.4894	19.3516	19.1145	19.5536	20.7785	18.3882	0.87	0.39	18.5969	0.90	0.37	19.3457	0.96	0.39
4	-4.085417	-24.038194	NA	18.774	20.533	19.0073	19.4409	18.9937	19.0297	18.0478	20.6887	18.8139	19.5673	18.4944	17.8351	19.4894	20.8916	19.348	21.0008	20.7785	19.3498	0.70	0.31	19.1070	0.93	0.38	19.8906	1.24	0.51
4.125	-3.960417	-23.913194	NA	18.3707	20.6695	19.1419	19.1999	18.2789	18.4103	17.3048	19.8089	18.7654	18.1559	17.917	17.4421	19.5127	20.5515	18.7877	20.944	19.7287	19.1322	0.96	0.43	18.3937	0.85	0.35	19.4945	1.26	0.52
4.25	-3.835417	-23.788194	NA	17.4158	19.5789	18.4327	18.9016	17.0455	18.0287	16.916	20.5551	18.4596	17.6552	17.7738	17.1935	18.8253	19.9188	18.4603	20.7797	20.5916	18.2749	1.04	0.47	18.2314	1.25	0.51	19.2949	1.39	0.57
4.375	-3.710417	-23.663194	NA	17.221	19.7394	18.2598	19.0406	17.3172	18.011	16.5595	20.0148	18.2562	17.2453	17.4872	16.5918	19.2826	20.6974	18.0165	19.8377	20.2898	18.3156	1.09	0.49	17.9290	1.18	0.48	19.1193	1.55	0.63
4.5	-3.585417	-23.538194	NA	17.5716	20.5408	18.4765	19.0523	18.0028	18.2526	17.0667	20.7355	18.6355	18.2331	17.8638	17.3367	19.4471	21.0525	18.691	20.9322	20.9212	18.7288	1.15	0.52	18.4645	1.23	0.50	19.7301	1.52	0.62
4.625	-3.460417	-23.413194	NA	18.0311	21.5315	19.1574	20.2421	18.6767	18.8292	17.2935	20.101	19.469	18.7174	18.0509	17.6348	20.1347	20.9955	19.1796	21.4245	21.2298	19.5278	1.38	0.62	18.7435	1.00	0.41	20.0998	1.47	0.60
4.75	-3.335417	-23.288194	NA	18.8167	22.763	19.6831	20.5609	18.8004	19.3481	17.9313	20.8981	19.5075	19.2109	19.1882	17.7839	20.4086	21.9644	18.9491	21.5083	21.5061	20.1248	1.64	0.74	19.3473	0.95	0.39	20.3534	1.66	0.68
4.875	-3.210417	-23.163194	NA	19.5293	23.2198	20.2358	22.0111	19.7751	19.5323	18.4162	23.0829	19.9838	20.8944	20.1052	18.3767	21.6759	23.6324	19.5124	23.3143	22.5529	20.9542	1.60	0.71	20.3358	1.57	0.64	21.5108	2.13	0.87
