days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
3.125	-4.960417	-24.913194	NA	3.5533	5.0008	3.9909	2.6403	6.4186	23.5797	7.6338	37.6211	8.4128	19.5967	26.2161	1.9398	16.0333	6.3159	6.083	2.0283	3.4277	4.3208	1.45	0.65	20.5100	11.38	4.65	5.9713	5.28	2.16
3.25	-4.835417	-24.788194	NA	3.6464	4.9655	4.303	2.8517	6.4901	23.3953	7.6901	37.774	8.4315	20.1516	26.0328	2.0577	16.0333	6.3492	5.8553	2.0255	3.4277	4.4513	1.38	0.62	20.5792	11.38	4.64	5.9581	5.27	2.15
3.375	-4.710417	-24.663194	NA	3.4262	4.9261	4.1815	2.8508	6.5229	23.4551	7.7321	37.6826	8.7446	19.76	26.333	2.0448	16.0333	6.7316	5.5936	2.181	3.4277	4.3815	1.43	0.64	20.6179	11.31	4.62	6.0020	5.26	2.15
3.5	-4.585417	-24.538194	NA	3.4625	5.0079	4.0507	3.0778	6.3403	23.6288	7.8949	37.1334	8.8595	20.1552	26.3081	2.0447	16.0333	6.6605	5.4394	2.2875	3.4277	4.3878	1.31	0.59	20.6633	11.09	4.53	5.9822	5.24	2.14
3.625	-4.460417	-24.413194	NA	3.7494	5.002	4.131	3.6834	6.6053	24.0185	7.8732	37.4819	8.7451	21.4305	26.4557	2.0595	16.0333	6.7425	5.6354	2.2579	3.4277	4.6342	1.22	0.55	21.0008	11.25	4.59	6.0260	5.24	2.14
3.75	-4.335417	-24.288194	NA	3.6901	5.0041	4.2274	4.1193	6.6108	23.6783	7.6632	37.7287	9.2291	22.5577	26.0669	1.9882	16.0333	6.8036	5.8247	2.3664	3.4277	4.7303	1.15	0.52	21.1540	11.24	4.59	6.0740	5.24	2.14
3.875	-4.210417	-24.163194	NA	3.6415	5.1419	3.9547	4.1715	6.325	23.3948	7.4017	35.7919	9.3912	21.2333	25.2143	1.8892	16.0333	6.5743	5.621	2.5307	3.4277	4.6469	1.09	0.49	20.4045	10.58	4.32	6.0127	5.23	2.13
4	-4.085417	-24.038194	NA	3.5986	5.0455	4.004	4.0007	6.2678	23.4355	7.2423	35.5034	10.8794	19.8807	24.73	2.0027	16.0333	6.283	5.4728	2.7288	3.4277	4.5833	1.08	0.48	20.2785	10.20	4.16	5.9914	5.18	2.12
4.125	-3.960417	-23.913194	NA	3.3519	5.4333	3.9708	3.8073	6.136	23.372	7.3278	34.8914	10.6277	20.4898	24.4419	2.0819	15.4098	6.3906	5.4414	2.8932	3.2768	4.5399	1.19	0.53	20.1918	10.01	4.09	5.9156	4.93	2.01
4.25	-3.835417	-23.788194	NA	3.32	5.288	3.9838	3.3482	6.1079	23.4653	7.8023	34.8204	10.4744	20.9037	24.2752	1.9745	15.3549	6.2648	5.5605	3.0551	2.8067	4.4096	1.24	0.55	20.2902	9.90	4.04	5.8361	4.95	2.02
4.375	-3.710417	-23.663194	NA	3.2845	5.5951	4.044	3.1335	6.0834	23.8654	8.4763	35.6483	10.9199	20.1463	25.0812	2.1172	15.1701	6.7184	5.5298	3.3937	2.7287	4.4281	1.34	0.60	20.6896	9.98	4.07	5.9430	4.85	1.98
4.5	-3.585417	-23.538194	NA	3.0802	5.4551	4.1088	2.7187	5.9908	24.1888	8.5409	34.7964	11.1877	20.1048	25.3669	2.0839	15.0997	6.5582	5.4146	3.1649	2.2711	4.2707	1.43	0.64	20.6976	9.71	3.96	5.7654	4.91	2.00
4.625	-3.460417	-23.413194	NA	3.0118	5.4543	3.9934	2.5911	6.0633	24.142	8.5563	34.5473	11.5329	21.1453	25.0924	2.0736	14.7696	6.5187	5.3755	2.9564	2.1665	4.2228	1.51	0.67	20.8360	9.53	3.89	5.6434	4.82	1.97
4.75	-3.335417	-23.288194	NA	2.9349	5.5158	4.0241	2.271	6.1573	24.0264	8.3975	34.392	11.9405	20.044	24.3981	2.0806	14.4352	6.0907	5.4364	2.9869	3.2566	4.1806	1.65	0.74	20.5331	9.39	3.83	5.7144	4.54	1.85
4.875	-3.210417	-23.163194	NA	3.0077	5.4122	3.9944	2.321	6.0615	23.7074	8.2228	33.9363	12.0942	19.8406	23.6468	1.9468	14.1772	5.9284	5.4243	3.1721	2.1183	4.1594	1.57	0.70	20.2414	9.19	3.75	5.4612	4.58	1.87
5	-3.085417	-23.038194	NA	2.9304	5.6887	3.8879	2.4781	6.0519	23.4956	8.2358	33.601	12.1027	19.7523	22.8606	2.0149	13.8228	5.705	5.2611	3.1109	1.8545	4.2074	1.61	0.72	20.0080	9.01	3.68	5.2949	4.48	1.83
5.125	-2.960417	-22.913194	NA	2.6918	5.6696	3.9658	2.4644	6.031	23.4427	8.4369	33.4612	12.207	19.6873	22.5319	2.117	13.749	5.6301	5.2765	3.1169	1.8753	4.1645	1.65	0.74	19.9612	8.88	3.62	5.2941	4.43	1.81
5.25	-2.835417	-22.788194	NA	2.6854	5.9133	3.9355	2.4369	5.9582	23.5801	9.0474	33.8865	12.6785	19.5685	22.7731	2.1828	13.524	5.805	5.2941	3.1962	1.9042	4.1859	1.70	0.76	20.2557	8.79	3.59	5.3177	4.33	1.77
